方案,日期,计划购电费_元,紧急购电费_元,总费用_元,计划购电_kWh,紧急购电_kWh,富余电量_kWh,日初储电_kWh,日末储电_kWh
risk,2025-02-20,77231.87640135291,1168.8725163113143,78400.74891766423,107713.36089675792,296.4234930386741,31898.936951238775,9998.459043398336,10800.0
risk,2025-02-21,68940.89103040825,17.25549653354479,68958.1465269418,95159.91515539019,7.908110235355082,65730.73561045784,10800.0,10601.494463098452
risk,2025-02-22,38117.590607709266,1083.2210299934447,39200.81163770271,58587.48382661941,219.18537837443762,27468.930938293932,10601.494463098452,10282.82964479533
risk,2025-02-23,43980.5071745967,73306.83186013333,117287.33903473003,67745.90404029659,15140.955707011146,15531.455369071264,10282.82964479533,2505.653553831306
risk,2025-02-24,77768.69627607666,1438.5743460333633,79207.27062211002,112626.71233979467,344.0482466681539,33264.33173038972,2505.653553831306,9998.630483869245
risk,2025-02-25,72236.54079519675,1626.2192219901522,73862.7600171869,101648.45371743776,452.7413015520998,31360.401451276506,9998.630483869245,10543.935288746663
risk,2025-02-26,68860.43816776686,2420.140133156603,71280.57830092346,96611.95773770171,530.3951563055028,24425.92149266313,10543.935288746663,10149.893636288247
risk,2025-02-27,72952.82194076394,4297.097801929121,77249.91974269306,102989.82414951059,882.0537313320236,31881.032500030895,10149.893636288247,10800.0
risk,2025-02-28,65345.27386419973,0.0,65345.27386419973,89836.67657396154,0.0,62708.1882893657,10800.0,10633.544097029295
risk,2025-03-01,36506.067966177434,1104.4213590197328,37610.489325197166,56899.07782669441,212.55913671243053,30198.500395110266,10633.544097029295,10162.787154660875
risk,2025-03-02,39481.06922296802,93840.55897876548,133321.6282017335,61380.618968107694,20443.34384697053,13654.513618023315,10162.787154660875,2499.848102605197
risk,2025-03-03,80068.66525199036,3830.064929388597,83898.73018137895,116116.21935432113,816.2829293324071,32651.920958317613,2499.848102605197,10513.274519521048
risk,2025-03-04,75368.93740191916,1058.6590939573648,76427.59649587653,105311.91888865366,296.70870065558074,31743.81252875684,10513.274519521048,10572.057596777502
risk,2025-03-05,72082.29879132037,1179.3992329601547,73261.69802428053,101311.93326727259,375.6208112813522,31007.959329967758,10572.057596777502,10626.405206437186
risk,2025-03-06,70764.66139703448,1342.4571546018706,72107.11855163635,99492.66984810226,305.9939377746708,29965.036905389545,10626.405206437186,10212.371381108636
risk,2025-03-07,64685.32559198748,234.93887778252807,64920.26446977001,90612.94110361367,61.47014070709787,65367.11521022058,10212.371381108636,10657.815974778998
risk,2025-03-08,33198.11690151521,722.5170765469127,33920.63397806213,51237.353812350484,309.20968395316095,28979.721228478847,10657.815974778998,10376.730289658239
risk,2025-03-09,36481.507550983944,79785.20242125548,116266.70997223942,57364.972042692665,17182.0031915963,15696.163107675948,10376.730289658239,2491.2579699992075
risk,2025-03-10,74264.8545147971,2966.0186779448295,77230.87319274193,107862.37791844826,639.4390875316834,28637.95909810355,2491.2579699992075,10510.492781647497
risk,2025-03-11,72652.52721660092,774.2743654025974,73426.80158200352,102678.06530902073,183.4470497848178,34519.1946225508,10510.492781647497,10555.396984640896
risk,2025-03-12,66587.81015638474,1515.3087856571074,68103.11894204185,93643.373239091,432.2991262768056,28162.748828853328,10555.396984640896,9818.322996121107
risk,2025-03-13,68964.97615824785,5642.913411646605,74607.88956989445,97819.25274898499,1153.8081433280945,26306.62182310535,9818.322996121107,10800.0
risk,2025-03-14,64843.00287392748,61.14288857731544,64904.14576250479,90303.33164556697,27.957425046783463,70012.16992253161,10800.0,10686.343324682695
risk,2025-03-15,30412.68580158541,1473.86771399882,31886.55351558423,46475.844771693686,513.3001335461993,23448.477572583055,10686.343324682695,9874.827732302743
risk,2025-03-16,39538.004029633565,73751.0635593186,113289.06758895217,62710.10579808643,15771.001144752663,18715.7043201368,9874.827732302743,2693.0107279389326
risk,2025-03-17,72232.67367344293,209.64923223333255,72442.32290567626,105635.1353088719,41.41906666666652,36289.56216318142,2693.0107279389326,10626.578123304957
risk,2025-03-18,62413.43842840538,10778.222338150797,73191.66076655618,88377.18205400882,2308.7682121746607,25693.937280322018,10626.578123304957,10258.27749282136
risk,2025-03-19,64960.74762322233,1263.0791112870045,66223.82673450933,90680.81656109792,371.95931561879826,27042.84716612969,10258.27749282136,10689.89336295407
risk,2025-03-20,63218.96041844191,1208.6504745014054,64427.61089294331,88018.34405357047,405.71907411197867,22539.611251634487,10689.89336295407,10124.919780400753
risk,2025-03-21,59519.565679276064,0.0,59519.565679276064,82328.61369732994,0.0,65763.84176746898,10124.919780400753,10672.878262923477
risk,2025-03-22,27959.280490869744,433.8932027960087,28393.17369366575,41828.977628013905,191.81762932723336,23325.163828223263,10672.878262923477,10309.571003712255
risk,2025-03-23,34593.012497398755,60415.46567388513,95008.47817128389,53773.510163844614,12057.316340557574,12151.582833181672,10309.571003712255,2482.462919257565
risk,2025-03-24,66039.88218307187,2792.432502508437,68832.3146855803,96741.41842635922,638.0492915631539,28741.2443115657,2482.462919257565,9574.033576792079
risk,2025-03-25,63547.87216445435,3457.9967121710997,67005.86887662545,90374.56990865598,759.5066536858624,25261.28211790961,9574.033576792079,10397.842046025724
risk,2025-03-26,63157.56687323158,920.1014554446715,64077.668328676256,88301.05453403814,273.16194868782446,28854.093852546524,10397.842046025724,10553.367708560332
risk,2025-03-27,60823.29227402026,1984.9152281561078,62808.207502176374,85323.54552478381,447.29584909674276,23463.367571912142,10553.367708560332,10308.044954242658
risk,2025-03-28,56699.683115329724,112.31433993806864,56811.997455267796,78320.85006526553,60.49789385298607,63400.07022394523,10308.044954242658,10603.856892077047
risk,2025-03-29,27451.95794863157,219.59446803883313,27671.552416670405,41359.313862691095,111.6758284267861,31011.944101783367,10603.856892077047,9899.854940670479
risk,2025-03-30,30041.418455115985,73240.73817217642,103282.15662729241,46086.86153988264,16277.841846417505,11800.27783692447,9899.854940670479,2413.3269034852465
risk,2025-03-31,65021.007680674375,127.42519124678799,65148.43287192116,95781.87570966207,42.99514747667217,27131.090738841332,2413.3269034852465,10441.160559922206
risk,2025-04-01,60533.70415444963,3252.56041684469,63786.26457129432,85935.30860368279,1000.5744321237604,22969.841714899987,10441.160559922206,10179.683095893986
risk,2025-04-02,63215.18334987799,11214.923433678605,74430.10678355659,89895.405615065,2277.744822646655,27518.992308573426,10179.683095893986,10545.055667958743
risk,2025-04-03,62594.13951636089,1260.811326545422,63854.95084290631,87688.3626803946,332.27971084518,29443.75483110915,10545.055667958743,9325.308475743952
risk,2025-04-04,54815.06669949432,0.8950687195392978,54815.961768213856,76431.70138805236,0.413140419819662,65088.01889840556,9325.308475743952,10621.060790003417
risk,2025-04-05,26304.52318069444,6.8807604579233494,26311.403941152363,39734.11516379709,2.4109181702604587,25766.085825547594,10621.060790003417,9254.150507095585
risk,2025-04-06,31352.116729555102,66755.5954525481,98107.7121821032,48849.49303522107,14356.65047877221,12804.78280736366,9254.150507095585,2552.679456857462
risk,2025-04-07,62577.175284265744,89.9321356708125,62667.107419936554,92557.6418539878,28.53554112346618,27970.919549401595,2552.679456857462,10552.132387041871
risk,2025-04-08,59426.689307690496,3926.318082069303,63353.0073897598,85382.79384016599,814.7977393109406,28484.02841647769,10552.132387041871,9818.592900789328
risk,2025-04-09,59614.512570859515,1516.263941941018,61130.776512800534,84126.51288782389,321.2290802429146,20564.11535282774,9818.592900789328,10608.056087010376
risk,2025-04-10,60875.379163751655,2581.7562165200166,63457.13538027167,86075.08871900123,770.504014227102,28934.198213145282,10608.056087010376,10109.617328924687
risk,2025-04-11,53315.13572412985,103.70726110102609,53418.84298523087,74019.50088250852,55.861708107205004,64714.735606918344,10109.617328924687,10624.724406868112
risk,2025-04-12,25280.205998017867,394.93112430894746,25675.137122326814,38041.13023683491,98.27593754546402,26649.44886428098,10624.724406868112,10209.151805183626
risk,2025-04-13,29179.538267046933,69385.9078040374,98565.44607108433,45120.20510472932,14901.515937726006,10622.709579202168,10209.151805183626,2575.3253355528723
risk,2025-04-14,61524.82271003039,1826.390900476928,63351.21361050732,90757.17844980101,597.4311445447659,27952.24080015388,2575.3253355528723,10195.461206873506
risk,2025-04-15,58314.70803538628,102.85147232398431,58417.55950771026,83807.45533612848,49.65705748070868,29723.08426882665,10195.461206873506,10244.829780680568
risk,2025-04-16,55190.18250353695,4801.807656168177,59991.99015970512,79108.5700293147,1139.2685601895325,20413.96972703762,10244.829780680568,10398.540443786138
risk,2025-04-17,60278.13373295004,15.835488451377875,60293.969221401414,86994.475204402,5.548524334750482,29758.434182293626,10398.540443786138,10687.745919627963
risk,2025-04-18,51153.91045162978,45.10929856556402,51199.019750195344,72037.96793974613,20.74944736226496,61859.64566901635,10687.745919627963,10655.79495453059
risk,2025-04-19,24352.232069344525,1086.9290354072207,25439.161104751747,36396.3446268839,334.0006636254116,27150.625148963263,10655.79495453059,10330.309736342708
risk,2025-04-20,28582.40514136361,69328.92992263265,97911.33506399626,44989.55295716332,14964.192863121074,13005.298642371137,10330.309736342708,2480.9053954758965
risk,2025-04-21,62418.371062315935,0.0,62418.371062315935,93210.2265013126,0.0,33435.83085285935,2480.9053954758965,10202.464327220174
risk,2025-04-22,53670.54087064127,2868.212374461414,56538.753245102685,77200.59674284303,815.4551854717711,21987.644869314987,10202.464327220174,9949.89125345649
risk,2025-04-23,60284.635034754305,898.5717937096385,61183.206828463946,87597.77627846753,200.57265374589701,31559.37348238635,9949.89125345649,10800.0
risk,2025-04-24,55585.35798199389,1095.6032549091253,56680.961236903015,80487.76413947316,354.3196522463368,30728.31676737357,10800.0,9732.400079829751
risk,2025-04-25,48735.035837168405,0.0,48735.035837168405,69863.67584518096,0.0,62823.93326872894,9732.400079829751,10698.70941390132
risk,2025-04-26,22056.77028564585,491.1249627100341,22547.895248355882,32833.426381230965,139.82893110679558,31175.737522409385,10698.70941390132,8747.001483799848
risk,2025-04-27,28528.498766970537,68515.36620162544,97043.86496859597,44852.76310168443,14786.926545592218,14170.78849207778,8747.001483799848,2909.5013958800355
risk,2025-04-28,62107.66224285954,4619.182309545657,66726.8445524052,91900.36677783157,952.7727446868057,25131.414224122418,2909.5013958800355,10758.080589567342
risk,2025-04-29,60819.52763995331,483.34941725478427,61302.8770572081,86780.948883898,222.11941230999003,36106.67009630297,10758.080589567342,10053.64620428453
risk,2025-04-30,53318.74835568822,1661.1113524421257,54979.859708130345,77018.48436794698,553.5036506545107,25211.490367221457,10053.64620428453,10228.847198466096
risk,2025-05-01,57799.286861767025,3928.299196202305,61727.58605796933,84605.25146726638,740.7734575883483,32936.42630988116,10228.847198466096,7677.378553261677
risk,2025-05-02,52409.87774294523,358.20784411986057,52768.08558706509,73980.59780995539,167.2673781063465,53236.42689935402,7677.378553261677,10557.751823296623
risk,2025-05-03,30234.10791857029,594.7633685003183,30828.871287070608,45821.95217832414,168.1039353621325,34072.87489312233,10557.751823296623,10125.226341077107
risk,2025-05-04,31322.86935602645,54586.85498703172,85909.72434305817,47980.409684713784,11471.82164031262,12232.184574047937,10125.226341077107,2789.528448099948
risk,2025-05-05,60688.07490341944,8731.540937433067,69419.61584085251,90735.67150889258,2031.6239641466736,26885.251940998263,2789.528448099948,10041.663469397998
risk,2025-05-06,61249.17196523327,1849.6829008948716,63098.85486612814,86970.97229305239,393.901232509955,30276.734769629235,10041.663469397998,10271.647291431564
risk,2025-05-07,60052.14530127778,2025.6062265271844,62077.75152780496,85434.14429328717,432.01819084530246,27223.6660414729,10271.647291431564,9757.773933752022
risk,2025-05-08,61392.15065515604,761.3089977725319,62153.45965292857,87382.77263972102,155.6924081315844,27095.353320332128,9757.773933752022,10426.34264728352
risk,2025-05-09,55314.87527659479,12.916197584118255,55327.791474178906,78084.5297976829,6.957283912802723,65008.67617236135,10426.34264728352,10720.518984597089
risk,2025-05-10,24863.558479387313,2648.9569299038285,27512.51540929114,35531.72967551931,1201.3615734356654,22635.006686527173,10720.518984597089,9571.954769254235
risk,2025-05-11,33632.583546221234,66077.32884760053,99709.91239382175,53289.23032227083,14014.098727234286,15303.714837490152,9571.954769254235,3028.487693675211
risk,2025-05-12,65298.45230110351,825.3600821041542,66123.81238320767,96584.0269991741,178.71884872582612,33740.61915220906,3028.487693675211,10594.579691805533
risk,2025-05-13,55232.566547917406,8029.7203211999,63262.286869117306,79447.33104805881,2073.8088862284317,24773.705251931697,10594.579691805533,10165.783709076451
risk,2025-05-14,57663.29706659256,1245.728751929501,58909.02581852206,82768.8566375279,417.9835077799329,26143.258557478366,10165.783709076451,10120.975936703959
risk,2025-05-15,59062.85946447047,1648.8039290694765,60711.66339353995,85401.20447585084,434.251948186217,28489.82632596005,10120.975936703959,10699.128878566631
risk,2025-05-16,52573.586169030095,0.0,52573.586169030095,74305.64932574752,0.0,67922.43346973468,10699.128878566631,10675.31224626791
risk,2025-05-17,23802.950306652485,1165.593171732807,24968.54347838529,34052.797313254516,501.6768096523824,23278.29196790474,10675.31224626791,8713.85833587773
risk,2025-05-18,31724.314352815585,59520.35189817927,91244.66625099487,48860.87888314314,12581.239117128738,11251.644697481426,8713.85833587773,2694.3688935679806
risk,2025-05-19,61263.58590126247,172.50215732351657,61436.088058585985,92251.52182798128,36.44808304177627,34138.85067007486,2694.3688935679806,10060.298335588732
risk,2025-05-20,54568.23617467719,2188.0071328257727,56756.24330750297,78095.172101871,494.1312142442508,20970.19354661196,10060.298335588732,9076.822275873204
risk,2025-05-21,58064.07652401892,1484.0063041872029,59548.08282820613,84034.86806184353,529.0210639177504,29309.67558971844,9076.822275873204,9221.332717510977
risk,2025-05-22,57295.70072533986,1240.6842648414636,58536.38499018132,82850.4221382474,334.6950403750603,26866.487320138927,9221.332717510977,10800.0
risk,2025-05-23,50307.888986134836,0.0,50307.888986134836,71092.69012323796,0.0,60928.636295850636,10800.0,10688.940775420648
risk,2025-05-24,24052.11245059411,224.69922200963953,24276.81167260375,34676.70160121946,102.88588907301042,28035.179468029222,10688.940775420648,10117.1446942045
risk,2025-05-25,25866.829976505906,69039.96979783667,94906.79977434258,39242.21655574544,15111.514171054892,10236.229052645844,10117.1446942045,3004.342382008364
risk,2025-05-26,58255.11987467992,5512.468816881733,63767.58869156165,86758.76265893714,1239.4365624827578,22388.346409715174,3004.342382008364,10637.46108514774
risk,2025-05-27,60068.114400855484,216.23473625787105,60284.34913711336,86292.52964065726,80.92626017900227,33383.510565618424,10637.46108514774,10152.423921690897
risk,2025-05-28,55160.49366982415,3147.2017522622214,58307.69542208637,79195.68226664045,840.090397622858,23568.513215051105,10152.423921690897,10237.307909927164
risk,2025-05-29,56926.667935078876,3278.408995507779,60205.076930586656,82443.41431580581,664.5192236661513,25952.585893731353,10237.307909927164,9367.489127472852
risk,2025-05-30,52997.080321862886,67.46782242135428,53064.54814428424,75000.35481897702,30.988946834353158,63566.14580714689,9367.489127472852,10670.867824860865
risk,2025-05-31,24620.667291606263,2015.2461267696658,26635.91341837593,35299.33345284473,749.322405240132,25336.27413166567,10670.867824860865,9917.107493330808
risk,2025-06-01,31835.59513242559,108370.10269421988,140205.69782664548,50231.030252050194,23025.231996819355,7718.955539253691,9917.107493330808,1440.66618303738
risk,2025-06-02,75669.77520970808,5210.855665842424,80880.6308755505,110088.23277868645,1237.0894030382804,31053.492557270823,1440.66618303738,9571.305913750242
risk,2025-06-03,70711.11191314273,2494.214769256452,73205.32668239917,98749.36697029776,578.0024669711644,26500.68651586611,9571.305913750242,10251.577567255254
risk,2025-06-04,71281.89942493066,1429.032810661591,72710.93223559225,99329.50469481401,392.6515205975722,25825.21376324036,10251.577567255254,10464.289843351666
risk,2025-06-05,70398.09924781304,5730.910091025215,76129.00933883825,98993.96423366822,1447.3555864083064,25965.41744853785,10464.289843351666,9654.541726317992
risk,2025-06-06,67898.52790384777,0.0,67898.52790384777,94374.35218384452,0.0,58866.610413376875,9654.541726317992,10746.408805939916
risk,2025-06-07,38149.468022449684,3185.1713872466285,41334.63940969631,55858.220334397,1301.8107211408574,23329.60634518983,10746.408805939916,10114.901301715818
risk,2025-06-08,45921.06321579122,49569.99853598303,95491.06175177425,70368.90213535933,10043.611597217077,19775.850676372876,10114.901301715818,2297.1161267863313
risk,2025-06-09,70566.71344675541,10920.671534300836,81487.38498105625,103129.54260133748,2205.15814769799,24270.501170562675,2297.1161267863313,9003.17687037855
risk,2025-06-10,73119.85121001734,4636.3827984689,77756.23400848624,102507.10171897453,1015.9801795254368,26602.613843106985,9003.17687037855,10467.435521500784
risk,2025-06-11,66668.9812480713,9885.849347539002,76554.8305956103,92551.72277678802,2288.4031620865485,15819.730233685354,10467.435521500784,9272.45573427969
risk,2025-06-12,70919.46864716212,2103.142143693934,73022.61079085605,97641.59393720223,839.5884080357001,20537.83623750886,9272.45573427969,10585.224702535092
risk,2025-06-13,62775.53573944504,83.42012309084733,62858.955862535884,85096.1639861091,44.934081923429744,52908.96800631054,10585.224702535092,10632.739194616672
risk,2025-06-14,34683.56643716516,203.75118681199828,34887.31762397716,49751.888114409696,93.11706770162975,20825.698960951697,10632.739194616672,10100.526674117493
risk,2025-06-15,36080.49232916845,88109.18050230358,124189.67283147204,53317.34008483212,19205.708509313903,6764.603164820584,10100.526674117493,2434.803355817651
risk,2025-06-16,77546.01036913706,2271.1748141607472,79817.18518329781,111174.1566343869,582.6555107816883,27608.83320026986,2434.803355817651,10114.841294291871
risk,2025-06-17,74333.4138855561,5477.878546034352,79811.29243159045,102960.32182506636,1156.2546340072768,25752.209487943503,10114.841294291871,9731.200954275413
risk,2025-06-18,70988.30718395335,3130.3485240342957,74118.65570798765,96828.71004713891,835.8332404419176,21569.728463841926,9731.200954275413,10740.634155124859
risk,2025-06-19,67487.18302248509,7118.338216879971,74605.52123936506,92391.33641070752,1542.7371676825992,22125.95572038391,10740.634155124859,10260.331322772743
risk,2025-06-20,62703.97886756142,0.0,62703.97886756142,84777.3906994964,0.0,58235.89301789874,10260.331322772743,10716.228898359
risk,2025-06-21,31005.881941165444,3221.0434092375663,34226.92535040301,43588.90074290567,1331.6267862936843,22711.449126151958,10716.228898359,10267.992565213439
risk,2025-06-22,31609.591392029808,88210.82941887851,119820.42081090831,45692.123225223884,19919.31559173986,3375.004237649278,10267.992565213439,2236.808534868084
risk,2025-06-23,76864.48062381495,5057.464590219173,81921.94521403412,111405.24015102551,1026.3868438313907,33745.34343339921,2236.808534868084,9913.215550970315
risk,2025-06-24,72421.7114540762,10587.66202512339,83009.3734791996,100568.64783756275,2397.8186917849284,21503.750663187224,9913.215550970315,10554.225334369334
risk,2025-06-25,73197.6796084637,1384.7503400980102,74582.42994856171,99096.25935084803,309.96158875428057,24707.85403137926,10554.225334369334,10579.01368947184
risk,2025-06-26,66563.46068517382,4042.452142143399,70605.91282731722,90004.38939157664,1033.5690784132594,19577.917342848436,10579.01368947184,10284.96833626315
risk,2025-06-27,62692.58624184937,0.0,62692.58624184937,83773.94892236698,0.0,59615.908813196205,10284.96833626315,10707.657363892582
risk,2025-06-28,30090.557526422792,1854.421085047551,31944.978611470342,42332.647257128236,748.8663161244965,19810.331610005218,10707.657363892582,9340.363070199563
risk,2025-06-29,35574.51548460639,80905.78453915016,116480.30002375654,53240.82972199788,17099.888749580885,4837.234644531526,9340.363070199563,2660.147025643834
risk,2025-06-30,75689.3311468107,5103.813452832218,80793.14459964291,108926.80404901071,1337.440552320548,29481.22702402354,2660.147025643834,9907.326101261708
risk,2025-07-01,77684.89264533008,3391.466059855527,81076.3587051856,109134.73644656033,781.886750459667,30296.971404910346,9907.326101261708,6492.5600987992175
risk,2025-07-02,75132.8934644532,1041.4221744582724,76174.31563891147,103709.64343157402,357.15386366973047,24309.166168682757,6492.5600987992175,9677.092020896613
risk,2025-07-03,68569.94196336827,10778.875588784524,79348.81755215279,93601.80080050137,2395.028440129802,13222.595973384794,9677.092020896613,8738.191731681132
risk,2025-07-04,71745.24966699415,0.0,71745.24966699415,96805.14154417592,0.0,62217.01695201376,8738.191731681132,10657.155816188133
risk,2025-07-05,37661.622368515134,1377.6476539330004,39039.27002244814,53151.805179304974,593.4560486964185,21764.401708891117,10657.155816188133,10272.51303748692
risk,2025-07-06,39886.619071671696,100406.5635107759,140293.1825824476,57703.32667797126,22246.507489564305,5212.546245387309,10272.51303748692,2308.03689438793
risk,2025-07-07,86696.93200816217,111.02687529143226,86807.9588834536,123757.17766668735,50.784394765412344,38275.105564117046,2308.03689438793,10512.699829910034
risk,2025-07-08,76265.91090218876,8167.352961763014,84433.26386395177,106762.32385072351,1873.846314209388,30827.414515606757,10512.699829910034,8682.165648764692
risk,2025-07-09,79763.58070367867,160.9628544998077,79924.54355817848,110675.73862804635,59.95870203744167,30503.575727925614,8682.165648764692,10685.923701919357
risk,2025-07-10,76326.64302100314,2710.4868275317936,79037.12984853494,106019.5021949662,662.9127570576584,30294.80818212899,10685.923701919357,10103.796791609671
risk,2025-07-11,73196.92876293519,0.0,73196.92876293519,100338.20610500313,0.0,63543.24147754509,10103.796791609671,10544.417657612374
risk,2025-07-12,45927.89617503985,22.44704819880238,45950.343223238655,68933.27909492914,12.091057473095816,35564.369438419984,10544.417657612374,9218.200338329427
risk,2025-07-13,45906.71941247591,70242.8108867393,116149.53029921521,69125.39975654196,15044.384657713832,18532.535655058855,9218.200338329427,2131.508824245569
risk,2025-07-14,78434.66142986642,1951.470850645278,80386.1322805117,112611.45944540702,487.9948502592404,29911.680836258285,2131.508824245569,9789.401767513158
risk,2025-07-15,76953.70757944476,606.3628455006939,77560.07042494546,107372.47630412754,154.77627806128942,29609.71640449959,9789.401767513158,10721.802395466733
risk,2025-07-16,72823.95589603012,3270.0771666730757,76094.0330627032,101616.05695775921,1215.8485326616146,27551.864658656425,10721.802395466733,9915.283058292089
risk,2025-07-17,72989.46871728962,7006.4026067881905,79995.87132407782,102245.7999589685,1438.071383238062,27557.116982542655,9915.283058292089,9422.045408216909
risk,2025-07-18,71007.35718605322,0.0,71007.35718605322,97505.6302054326,0.0,61036.203690954986,9422.045408216909,10673.009831817795
risk,2025-07-19,41450.85110636747,1271.7033836503608,42722.55449001783,60911.21284395266,667.517353483021,31846.853578892147,10673.009831817795,9666.55296431293
risk,2025-07-20,43923.67521745007,70658.13114252749,114581.80635997756,65761.1361079118,15004.10169813877,13364.265230759505,9666.55296431293,2171.1340652206495
risk,2025-07-21,78214.73669336578,3809.931362340185,82024.66805570596,113381.39158178554,785.4901101407024,29267.758147502813,2171.1340652206495,9732.75752738543
risk,2025-07-22,77888.29087517285,4533.9815822784785,82422.27245745133,109794.93375364522,1013.6371238082777,32390.96507323897,9732.75752738543,10228.79626406051
risk,2025-07-23,73761.35951747719,5249.383507967475,79010.74302544467,102037.67340473269,1232.2098060932633,25881.265953604656,10228.79626406051,9200.757263945374
risk,2025-07-24,75633.39245918629,1381.3010766314842,77014.69353581777,105229.74981190049,350.8467326721218,26353.027604547802,9200.757263945374,10800.0
risk,2025-07-25,70372.67836968467,0.0,70372.67836968467,96144.72871420938,0.0,65911.09476007725,10800.0,10587.651808495584
risk,2025-07-26,39473.34965178253,930.1516760657537,40403.50132784829,57199.909179951355,385.9494716608537,25997.520212194053,10587.651808495584,10320.96180283002
risk,2025-07-27,42078.97212203985,85829.74107985466,127908.71320189451,62403.209544659214,19139.837290107112,13262.2799835067,10320.96180283002,1955.5514247627755
risk,2025-07-28,81796.09053094758,1198.219199069003,82994.30973001658,116592.53704638963,315.98299286645806,27279.946670802514,1955.5514247627755,9852.365045910923
risk,2025-07-29,80203.34589516665,4877.6463103763235,85080.99220554298,110795.6056042476,1324.2578861869226,31620.56008876886,9852.365045910923,10225.31723048082
risk,2025-07-30,76624.99078509802,4050.1786896047147,80675.16947470274,105825.94722432317,990.2157619290167,28539.477699508694,10225.31723048082,10296.933387056328
risk,2025-07-31,74562.61584812355,2019.2413361516246,76581.85718427517,102537.52702386881,574.5302187366972,24865.630971086048,10296.933387056328,9616.17752222523
risk,2025-08-01,73594.19914696159,8.227985205440868,73602.42713216702,100156.31599598318,3.7622246023963726,73847.57157717552,9616.17752222523,10720.008368432236
risk,2025-08-02,36472.217045051635,1930.0402405217208,38402.25728557335,51721.52871326788,503.42271211874333,28495.26843527599,10720.008368432236,10242.217991489732
risk,2025-08-03,40520.72303588526,62078.629071804506,102599.35210768977,59747.35456131081,13212.531288470887,16089.997569082094,10242.217991489732,1644.8528897450815
risk,2025-08-04,70156.21543796966,1329.5310216564249,71485.74645962608,100786.68442991609,263.72956011088627,24185.834349332785,1644.8528897450815,10112.894112328644
risk,2025-08-05,70515.10817028156,3683.027981683842,74198.1361519654,98130.84368701378,836.7535519037525,29780.17689793627,10112.894112328644,10442.209834897985
risk,2025-08-06,65642.22003056048,3106.42130151576,68748.64133207624,90789.01387399778,1115.2547109997251,22419.888368441963,10442.209834897985,7991.7413157503925
risk,2025-08-07,72397.85552067406,1676.7758627263006,74074.63138340035,101920.72784782671,486.2785840607712,32621.9797820514,7991.7413157503925,10511.605136883969
