policy,date,initial_cost,increase_cost,cancellation_refund,cancellation_penalty,adjustment_net,emergency_cost,total_cost,initial_kwh,effective_kwh,increase_kwh,cancel_kwh,emergency_kwh,start_kwh,end_kwh
mask_100,2025-02-04,60964.38003416546,0.0,334.37239111473104,167.18619555736552,-167.18619555736552,1.8267755308443154e-11,60797.19383860811,95127.02648790489,94758.28198794225,0.0,368.7444999626367,3.296918293926865e-12,1837.4718468445828,1576.0798438956444
mask_101,2025-02-04,61004.50678131713,0.0,4710.229849129455,2355.1149245647275,-2355.1149245647275,3.611671761660773e-11,58649.39185675244,95220.10639315117,89212.09046375587,0.0,6008.015929395296,7.136069513080656e-12,1753.6999321229216,1543.9122453698346
mask_110,2025-02-04,61010.56412562283,0.0,5469.2338911248935,2734.6169455624467,-2734.6169455624467,3.93741643733847e-11,58275.947180060415,95234.15729620312,87979.41051544293,0.0,7254.746780760204,8.107292615022743e-12,1741.0541193761676,1496.129927424552
mask_111,2025-02-04,61004.50678131713,0.0,5900.776478593823,2950.3882392969117,-2950.3882392969117,4.0650974142408813e-11,58054.11854202027,95220.10639315117,87513.61060793113,0.0,7706.495785220048,8.43591863031179e-12,1753.6999321229216,1496.129927424552
forecast_only,2025-02-04,60811.00178595441,0.0,0.0,0.0,0.0,1.858126608134114e-11,60811.00178595443,94771.24303114068,94771.24303114068,0.0,0.0,3.4519054281645367e-12,2157.6769579323636,1905.339605438247
mask_000,2025-02-05,55942.41146372476,0.0,0.0,0.0,0.0,153.80665979169493,56096.21812351645,88172.65784811706,88172.65784811706,0.0,0.0,26.479583333338997,1905.339605438247,1616.2432113287157
mask_001,2025-02-05,56115.53516919753,0.0,1397.2438366675037,698.6219183337519,-698.6219183337519,1035.956553390445,56452.869804254224,88574.24380374863,86980.85394244501,0.0,1593.3898613036004,155.67891910429773,1543.9122453698346,1276.4901560648846
mask_010,2025-02-05,56138.42289949332,0.0,2255.8592687273763,1127.9296343636881,-1127.9296343636881,1084.2646078197113,56094.75787294935,88627.33526813227,85898.98477627755,0.0,2728.350491854726,162.88907648179958,1496.129927424552,1276.4901560648846
mask_011,2025-02-05,56138.42289949332,0.0,2263.4498286760745,1131.7249143380373,-1131.7249143380373,1084.2646078197206,56090.96259297501,88627.33526813227,85908.87870886123,0.0,2718.456559271037,162.88907648180174,1496.129927424552,1276.4901560648846
mask_100,2025-02-05,56100.12688950366,0.0,335.14622546292986,167.57311273146493,-167.57311273146493,360.9570400343596,56293.510816806556,88538.50202760883,88167.42220020448,0.0,371.07982740434375,56.174305271794154,1576.0798438956444,1276.4901560648846
mask_101,2025-02-05,56115.53516919753,0.0,1397.2438366675037,698.6219183337519,-698.6219183337519,1035.956553390445,56452.869804254224,88574.24380374863,86980.85394244501,0.0,1593.3898613036004,155.67891910429773,1543.9122453698346,1276.4901560648846
mask_110,2025-02-05,56138.42289949332,0.0,2255.8592687273763,1127.9296343636881,-1127.9296343636881,1084.2646078197113,56094.75787294935,88627.33526813227,85898.98477627755,0.0,2728.350491854726,162.88907648179958,1496.129927424552,1276.4901560648846
mask_111,2025-02-05,56138.42289949332,0.0,2263.4498286760745,1131.7249143380373,-1131.7249143380373,1084.2646078197206,56090.96259297501,88627.33526813227,85908.87870886123,0.0,2718.456559271037,162.88907648180174,1496.129927424552,1276.4901560648846
forecast_only,2025-02-05,55942.41146372476,0.0,0.0,0.0,0.0,153.80665979169493,56096.21812351645,88172.65784811706,88172.65784811706,0.0,0.0,26.479583333338997,1905.339605438247,1616.2432113287157
mask_000,2025-02-06,60385.92848792552,0.0,0.0,0.0,0.0,100.27720747011841,60486.20569539564,94608.4011642602,94608.4011642602,0.0,0.0,17.166345539693477,1616.2432113287157,1626.608847864226
mask_001,2025-02-06,60548.6702013969,0.0,5587.575154208695,2793.7875771043473,-2793.7875771043473,617.9939010849067,58372.876525377455,94985.90455899779,87705.89235306591,0.0,7280.0122059318965,132.3023686898518,1276.4901560648846,1258.554744552206
mask_010,2025-02-06,60548.6702013969,0.0,6586.573810328985,3293.2869051644925,-3293.2869051644925,2294.625329126859,59550.00862535927,94985.90455899779,86164.37228355257,0.0,8821.532275445226,445.10601505496476,1276.4901560648846,1258.554744552206
mask_011,2025-02-06,60548.6702013969,0.0,7258.378140603205,3629.1890703016024,-3629.1890703016024,2503.3568574140886,59422.83798850938,94985.90455899779,85283.93420421233,0.0,9701.970354785475,481.7729187466408,1276.4901560648846,1258.554744552206
mask_100,2025-02-06,60548.6702013969,0.0,331.2295829415847,165.61479147079234,-165.61479147079234,100.27720747012033,60483.33261739623,94985.90455899779,94620.6259349839,0.0,365.2786240139047,17.16634553969391,1276.4901560648846,1292.8444789981509
mask_101,2025-02-06,60548.6702013969,289.30272722934103,5587.575154208695,2793.7875771043473,-2504.484849875006,309.0087357573533,58353.19408727924,94985.90455899779,87855.6233404268,149.73098736088866,7280.0122059318965,53.83324923137064,1276.4901560648846,1337.7345977771033
mask_110,2025-02-06,60548.6702013969,508.8283489716439,6586.573810328985,3293.2869051644925,-2784.4585561928484,1205.3941517402513,58969.6057969443,94985.90455899779,86427.72054790659,263.3482643540325,8821.532275445226,253.01961860333967,1276.4901560648846,1337.7345977771033
mask_111,2025-02-06,60548.6702013969,508.8283489716439,7258.378140603205,3629.1890703016024,-3120.3607213299583,1414.125680027481,58842.435160094414,94985.90455899779,85547.28246856635,263.3482643540325,9701.970354785475,289.6865222950157,1276.4901560648846,1337.7345977771033
forecast_only,2025-02-06,60385.92848792552,0.0,0.0,0.0,0.0,100.27720747011841,60486.20569539564,94608.4011642602,94608.4011642602,0.0,0.0,17.166345539693477,1616.2432113287157,1626.608847864226
mask_000,2025-02-07,24567.713601478292,0.0,0.0,0.0,0.0,3.09022851752161e-11,24567.71360147832,46567.83004833085,46567.83004833085,0.0,0.0,5.9117155615240335e-12,1626.608847864226,2129.213888343482
mask_001,2025-02-07,24744.011516964747,0.0,2497.905924111172,1248.952962055586,-1248.952962055586,2.1769437363872154e-11,23495.058554909185,46976.77905201087,42922.40088642975,0.0,4054.3781655811226,4.473754700029531e-12,1258.554744552206,1650.8836397022476
mask_010,2025-02-07,24744.011516964747,0.0,2915.560664737299,1457.7803323686494,-1457.7803323686494,2.0393109867455906e-11,23286.23118459612,46976.77905201087,42452.5029524196,0.0,4524.276099591272,4.281019982954604e-12,1258.554744552206,1652.1227958493234
mask_011,2025-02-07,24744.011516964747,1.796987069807178,3254.282583648483,1627.1412918242415,-1625.3443047544345,2.0393109867455906e-11,23118.667212210334,46976.77905201087,41705.20400478877,1.1152405323696257,5272.6902877544735,4.281019982954604e-12,1258.554744552206,1652.1227958493234
mask_100,2025-02-07,24727.58673416514,0.0,411.732188130654,205.866094065327,-205.866094065327,3.1222725294099975e-11,24521.720640099848,46938.67934707094,46441.798283864206,0.0,496.8810632067275,5.980105299840943e-12,1292.8444789981509,1618.800924193615
mask_101,2025-02-07,24706.08436727002,0.0,2528.2115464021103,1264.1057732010552,-1264.1057732010552,2.1769437363872154e-11,23441.978594068987,46888.80143731654,42803.72159785137,0.0,4085.079839465165,4.473754700029531e-12,1337.7345977771033,1618.8009241936122
mask_110,2025-02-07,24706.08436727002,0.0,2946.9671409577377,1473.4835704788688,-1473.4835704788688,2.0393109867455906e-11,23232.600796791172,46888.80143731654,42332.70842330886,0.0,4556.0930140076825,4.281019982954604e-12,1337.7345977771033,1618.8009241936122
mask_111,2025-02-07,24706.08436727002,1.796987069807178,3285.6890598689224,1642.8445299344612,-1641.0475428646541,2.0393109867455906e-11,23065.03682440539,46888.80143731654,41585.409475678025,1.1152405323696257,5304.507202170884,4.281019982954604e-12,1337.7345977771033,1618.8009241936122
forecast_only,2025-02-07,24567.713601478292,0.0,0.0,0.0,0.0,3.09022851752161e-11,24567.71360147832,46567.83004833085,46567.83004833085,0.0,0.0,5.9117155615240335e-12,1626.608847864226,2129.213888343482
mask_000,2025-02-08,19365.209466209628,0.0,0.0,0.0,0.0,3.485716271178774e-11,19365.209466209664,36917.167610984034,36917.167610984034,0.0,0.0,7.475353669406104e-12,2129.213888343482,1926.616303455832
mask_001,2025-02-08,19593.798177254732,0.0,369.83735533354593,184.91867766677296,-184.91867766677296,382.8031938143187,19791.68269340228,37448.64566502985,36989.88114883242,0.0,458.7645161974266,62.62116699072922,1650.8836397022476,1557.5100639524787
mask_010,2025-02-08,19593.205998300447,0.0,553.5234245109638,276.7617122554819,-276.7617122554819,1467.117157624197,20783.56144366916,37447.268824866434,36809.381586033196,0.0,637.887238833233,239.99953502767946,1652.1227958493234,1557.5100639524787
mask_011,2025-02-08,19593.205998300447,0.0,553.5234245109637,276.7617122554818,-276.7617122554818,1467.117157624197,20783.56144366916,37447.268824866434,36809.381586033196,0.0,637.8872388332331,239.99953502767946,1652.1227958493234,1557.5100639524787
mask_100,2025-02-08,19609.13015052169,0.0,375.9223072453175,187.96115362265874,-187.96115362265874,3.051406205489826e-11,19421.16899689906,37484.29312670611,37022.575433501435,0.0,461.71769320467064,6.41731112693833e-12,1618.800924193615,1454.7471582302508
mask_101,2025-02-08,19609.13015052169,0.0,400.3699153782964,200.1849576891482,-200.1849576891482,382.8031938143187,19791.748386646857,37484.29312670611,36994.59703311556,0.0,489.69609359054834,62.62116699072922,1618.8009241936122,1524.326232664387
mask_110,2025-02-08,19609.13015052169,268.5687693617216,553.5234245109638,276.7617122554819,-8.19294289376029,571.8879264184583,20172.825134046387,37484.29312670611,36992.85267851671,146.44679064383098,637.887238833233,93.55274438384846,1618.8009241936122,1557.5100639524787
mask_111,2025-02-08,19609.13015052169,268.5687693617216,553.5234245109637,276.7617122554818,-8.192942893760232,571.8879264184583,20172.825134046387,37484.29312670611,36992.85267851671,146.44679064383098,637.8872388332331,93.55274438384846,1618.8009241936122,1557.5100639524787
forecast_only,2025-02-08,19365.209466209628,0.0,0.0,0.0,0.0,3.485716271178774e-11,19365.209466209664,36917.167610984034,36917.167610984034,0.0,0.0,7.475353669406104e-12,2129.213888343482,1926.616303455832
mask_000,2025-02-09,55971.30705710533,0.0,0.0,0.0,0.0,2.8842713550858437e-11,55971.30705710536,88341.14849255007,88341.14849255007,0.0,0.0,5.547562409446982e-12,1926.616303455832,1423.1010953068542
mask_001,2025-02-09,56148.108945827444,0.0,2219.6976018669316,1109.8488009334658,-1109.8488009334658,1561.7497422533243,56600.00988714731,88751.2665364427,86183.22077315566,0.0,2568.045763287041,270.76487219054786,1557.5100639524787,1245.2620645575903
mask_010,2025-02-09,56148.108945827444,0.0,2250.3323789764286,1125.1661894882143,-1125.1661894882143,1632.7247284772764,56655.667484816506,88751.2665364427,85299.09267594172,0.0,3452.1738605009778,281.3581537165107,1557.5100639524787,1245.2620645575903
mask_011,2025-02-09,56148.108945827444,17.735914894328626,3095.5518997455824,1547.7759498727912,-1530.0400349784625,1632.7247284772811,56250.793639326264,88751.2665364427,84944.74367175084,11.070769588526218,3817.5936342803707,281.35815371651177,1557.5100639524787,1245.2620645575903
mask_100,2025-02-09,56197.33237766839,0.0,319.5540296838671,159.77701484193355,-159.77701484193355,915.7082225281868,56953.263585354645,88865.44754280071,88509.59613384336,0.0,355.8514089573614,174.3407647688849,1454.7471582302508,1245.2620645575903
mask_101,2025-02-09,56164.00400101444,181.67748199852238,2219.6976018669316,1109.8488009334658,-928.1713189349434,915.7082225281966,56151.5409046077,88788.13746009613,86316.51580423074,96.42410742166089,2568.045763287041,174.34076476888706,1524.326232664387,1245.2620645575903
mask_110,2025-02-09,56148.108945827444,202.0830196881703,2250.3323789764286,1125.1661894882143,-923.0831698000441,915.7082225281949,56140.733998555595,88751.2665364427,85406.11006488935,107.01738894762445,3452.173860500978,174.34076476888654,1557.5100639524787,1245.2620645575903
mask_111,2025-02-09,56148.108945827444,219.81893458249894,3095.5518997455824,1547.7759498727912,-1327.9570152902922,915.7082225281999,55735.860153065354,88751.2665364427,85051.76106069847,118.08815853615067,3817.5936342803707,174.34076476888765,1557.5100639524787,1245.2620645575903
forecast_only,2025-02-09,55971.30705710533,0.0,0.0,0.0,0.0,2.8842713550858437e-11,55971.30705710536,88341.14849255007,88341.14849255007,0.0,0.0,5.547562409446982e-12,1926.616303455832,1423.1010953068542
mask_000,2025-02-10,53996.73384630775,0.0,0.0,0.0,0.0,2.2418105372068454e-11,53996.73384630777,85863.46260362936,85863.46260362936,0.0,0.0,4.312550316853958e-12,1423.1010953068542,1412.7850291418902
mask_001,2025-02-10,54081.918742036636,0.0,5586.013684340649,2793.0068421703245,-2793.0068421703245,4962.40157076857,56251.31347063488,86061.06152668409,78175.90666265896,0.0,7885.154864025139,869.1829216189112,1245.2620645575903,1263.2544870617853
mask_010,2025-02-10,54081.918742036636,0.0,3738.0124043972487,1869.0062021986244,-1869.0062021986244,629.6170662736859,52842.5296061117,86061.06152668409,80312.0350380491,0.0,5749.026488635001,159.8927974394673,1245.2620645575903,1200.0
mask_011,2025-02-10,54081.918742036636,1086.236094790941,5804.775282836885,2902.3876414184424,-1816.1515466275014,583.3858562200057,52849.15305162914,86061.06152668409,78992.94978492551,1176.2693669646187,8244.381108723219,218.18908166479594,1245.2620645575903,1200.0
mask_100,2025-02-10,54081.918742036636,0.0,322.36681519584937,161.18340759792468,-161.18340759792468,253.9044035035463,54174.63973794226,86061.06152668409,85705.00265522726,0.0,356.0588714568422,90.98479617339366,1245.2620645575903,1200.0
mask_101,2025-02-10,54081.918742036636,1219.6461210419964,5706.476312973863,2853.2381564869315,-1633.592035444935,1426.8698909002137,53875.19659749191,86061.06152668409,78608.58477610163,630.4885975853605,8082.965348167827,361.27107319070353,1245.2620645575903,1200.0
mask_110,2025-02-10,54081.918742036636,211.70974614263744,3738.0124043972487,1869.0062021986244,-1657.296456055987,110.07671898663584,52534.69900496729,86061.06152668409,80421.99719544439,109.96215739528873,5749.026488635002,52.36347883898567,1245.2620645575903,1200.0
mask_111,2025-02-10,54081.918742036636,1086.236094790941,5804.775282836885,2902.3876414184424,-1816.1515466275014,583.3858562200057,52849.15305162914,86061.06152668409,78992.94978492551,1176.2693669646187,8244.381108723219,218.18908166479594,1245.2620645575903,1200.0
forecast_only,2025-02-10,53996.73384630775,0.0,0.0,0.0,0.0,2.2418105372068454e-11,53996.73384630777,85863.46260362936,85863.46260362936,0.0,0.0,4.312550316853958e-12,1423.1010953068542,1412.7850291418902
mask_000,2025-02-11,54798.06736569712,0.0,0.0,0.0,0.0,16.683178755136588,54814.750544452254,86655.35052389918,86655.35052389918,0.0,0.0,3.5617375651446124,1412.7850291418902,1523.6702814945343
mask_001,2025-02-11,54869.69249535349,0.0,3881.870392542638,1940.935196271319,-1940.935196271319,63.144055877986915,52991.90135496016,86821.49557065485,81783.40112110655,0.0,5038.094449548299,13.480797582832658,1263.2544870617853,1523.6702814945343
mask_010,2025-02-11,54899.991394656085,0.0,5088.006739687248,2544.003369843624,-2544.003369843624,1678.3499820552229,54034.338006867685,86891.77833405683,80309.63389729685,0.0,6582.144436759978,272.4177478369314,1200.0,1389.0266765825938
mask_011,2025-02-11,54899.991394656085,0.0,5133.453043197723,2566.7265215988614,-2566.7265215988614,1724.8108591780706,54058.07573223529,86891.77833405683,80360.2256187328,0.0,6531.55271532402,282.33680785461894,1200.0,1389.0266765825938
mask_100,2025-02-11,54899.991394656085,0.0,308.568723531186,154.284361765593,-154.284361765593,904.2895265506618,55649.996559441155,86891.77833405683,86550.62820539041,0.0,341.1501286664047,157.11888265167767,1200.0,1389.0266765825938
mask_101,2025-02-11,54899.991394656085,0.0,4190.439116073823,2095.2195580369116,-2095.2195580369116,950.7504036735121,53755.52224029268,86891.77833405683,81512.53375584213,0.0,5379.244578214702,167.03794266936572,1200.0,1389.0266765825938
mask_110,2025-02-11,54899.991394656085,221.60248994676576,5088.006739687248,2544.003369843624,-2322.4008798968584,904.2895265506755,53481.8800413099,86891.77833405683,80424.9327624821,115.29886518525166,6582.144436759976,157.11888265168017,1200.0,1389.0266765825938
mask_111,2025-02-11,54899.991394656085,221.60248994676576,5133.453043197723,2566.7265215988614,-2345.1240316520957,950.7504036735234,53505.61776667751,86891.77833405683,80475.52448391807,115.29886518525166,6531.55271532402,167.03794266936768,1200.0,1389.0266765825938
forecast_only,2025-02-11,54798.06736569712,0.0,0.0,0.0,0.0,16.683178755136588,54814.750544452254,86655.35052389918,86655.35052389918,0.0,0.0,3.5617375651446124,1412.7850291418902,1523.6702814945343
mask_000,2025-02-12,54786.440380105174,0.0,0.0,0.0,0.0,2.8648534811798187e-11,54786.4403801052,86874.72149761762,86874.72149761762,0.0,0.0,6.341016253741394e-12,1523.6702814945343,1619.7095945559568
mask_001,2025-02-12,54786.440380105174,0.0,4365.487718761034,2182.743859380517,-2182.743859380517,137.52432310498847,52741.22084382965,86874.72149761762,80839.59598355697,0.0,6035.125514060655,31.02152875303858,1523.6702814945343,1581.9838629936849
mask_010,2025-02-12,54850.934666858,0.0,4209.125633816408,2104.562816908204,-2104.562816908204,2313.4765501236056,55059.848400073395,87024.32550307534,80831.31316706141,0.0,6193.012336013924,410.6254265009054,1389.0266765825938,1303.913280537448
mask_011,2025-02-12,54850.934666858,0.0,4365.487718761034,2182.743859380517,-2182.743859380517,137.52432310498847,52805.715130582474,87024.32550307534,80989.19998901468,0.0,6035.125514060655,31.02152875303858,1389.0266765825938,1581.9838629936849
mask_100,2025-02-12,54850.934666858,0.0,0.0,0.0,0.0,2.8648534811798187e-11,54850.934666858026,87024.32550307534,87024.32550307534,0.0,0.0,6.341016253741394e-12,1389.0266765825938,1619.7095945559568
mask_101,2025-02-12,54850.934666858,0.0,4365.487718761034,2182.743859380517,-2182.743859380517,137.52432310498847,52805.715130582474,87024.32550307534,80989.19998901468,0.0,6035.125514060655,31.02152875303858,1389.0266765825938,1581.9838629936849
mask_110,2025-02-12,54850.934666858,393.0546722716347,4209.125633816408,2104.562816908204,-1711.5081446365693,977.0737852715945,54116.50030749302,87024.32550307534,81034.7418202569,203.42865319547377,6193.012336013924,207.19677330543175,1389.0266765825938,1303.913280537448
mask_111,2025-02-12,54850.934666858,0.0,4365.487718761034,2182.743859380517,-2182.743859380517,137.52432310498847,52805.715130582474,87024.32550307534,80989.19998901468,0.0,6035.125514060655,31.02152875303858,1389.0266765825938,1581.9838629936849
forecast_only,2025-02-12,54786.440380105174,0.0,0.0,0.0,0.0,2.8648534811798187e-11,54786.4403801052,86874.72149761762,86874.72149761762,0.0,0.0,6.341016253741394e-12,1523.6702814945343,1619.7095945559568
mask_000,2025-02-13,50548.291045939404,0.0,0.0,0.0,0.0,48.87645085068031,50597.16749679008,81153.38885082197,81153.38885082197,0.0,0.0,11.16028104821998,1619.7095945559568,1630.4409106752128
mask_001,2025-02-13,50566.36167135773,0.0,3228.8957765637683,1614.4478882818842,-1614.4478882818842,165.24886855542803,49117.162651631275,81195.30633033562,76614.94211187011,0.0,4580.364218465495,37.73235952858247,1581.9838629936849,1630.4409106752128
mask_010,2025-02-13,50699.55748035427,0.0,2192.7230167570447,1096.3615083785223,-1096.3615083785223,151.84878049596512,49755.04475247171,81504.27364417588,77959.47675888595,0.0,3544.7968852899257,30.144033601418045,1303.913280537448,1311.70631943802
mask_011,2025-02-13,50566.36167135773,0.0,3228.8957765637683,1614.4478882818842,-1614.4478882818842,165.24886855542803,49117.162651631275,81195.30633033562,76614.94211187011,0.0,4580.364218465495,37.73235952858247,1581.9838629936849,1630.4409106752128
mask_100,2025-02-13,50548.291045939404,0.0,0.0,0.0,0.0,48.87645085068031,50597.16749679008,81153.38885082197,81153.38885082197,0.0,0.0,11.16028104821998,1619.7095945559568,1630.4409106752128
mask_101,2025-02-13,50566.36167135773,0.0,3228.8957765637683,1614.4478882818842,-1614.4478882818842,165.24886855542803,49117.162651631275,81195.30633033562,76614.94211187011,0.0,4580.364218465495,37.73235952858247,1581.9838629936849,1630.4409106752128
mask_110,2025-02-13,50699.55748035427,137.51449337191548,2192.7230167570447,1096.3615083785223,-958.8470150066071,48.876450850687846,49789.58691619834,81504.27364417588,78030.64850713113,71.17174824517531,3544.7968852899257,11.160281048221394,1303.913280537448,1369.692981317996
