strategy,day,date,initial_cost,increase_cost,refund,penalty,adjustment_net,emergency_cost,total_cost,initial_kwh,effective_kwh,increase_kwh,cancel_kwh,emergency_kwh,charge_kwh,discharge_kwh,spill_kwh,E_start,E_end
A43_000,32,2025-02-02,63527.88384444683,0.0,0.0,0.0,0.0,224.00128039539345,63751.88512484222,89512.89052835727,89512.89052835727,0.0,0.0,35.34258131830208,20705.932275449723,17860.252731833894,8346.275616059736,2554.704678504147,1345.3184688156816
A43_001,32,2025-02-02,63733.39497685621,0.0,4748.753434978213,2374.3767174891063,-2374.3767174891063,1388.521599217844,62747.53985858494,89971.59914928293,84591.34025905773,0.0,5380.258890225225,268.505704816832,22171.05375897854,18799.370176468983,3131.8844313649806,2141.8669196710453,1207.6262177861954
A43_010,32,2025-02-02,63733.80799408386,0.0,4258.603421671994,2129.301710835997,-2129.301710835997,1327.4915698542188,62931.99785310208,89972.52147448983,84905.18382432245,0.0,5067.337650167372,258.6318932388309,21214.538418186003,18023.845667009453,3616.845016384727,2141.036826984846,1207.6262177861954
A43_011,32,2025-02-02,63733.39497685621,178.63673648558984,5457.998356680699,2728.9991783403493,-2550.3624418547597,1327.4915698542184,62510.52410485566,89971.59914928293,83866.29140583685,119.84548858230892,6225.15323202841,258.6318932388309,22161.572976474134,18791.690742640414,2398.763115241943,2141.8669196710453,1207.6262177861954
A43_100,32,2025-02-02,63769.29747710562,0.0,349.78204150510044,174.89102075255022,-174.89102075255022,1256.4401588477763,64850.84661520084,90051.77445131377,89666.71307978699,0.0,385.0613715267847,237.7836509044718,21101.906280139694,17868.41872396454,8314.731224516303,2069.7091478432935,1207.6262177861954
A43_101,32,2025-02-02,63769.29747710562,0.0,4748.753434978213,2374.3767174891063,-2374.3767174891063,1388.521599217844,62783.44235883435,90051.77445131377,84671.51556108856,0.0,5380.258890225225,268.505704816832,22251.229061009377,18799.370176468983,3131.8844313649806,2069.7091478432935,1207.6262177861954
A43_110,32,2025-02-02,63769.29747710562,0.0,4258.603421671994,2129.301710835997,-2129.301710835997,1327.4915698542188,62967.48733612384,90051.77445131377,84984.4368011464,0.0,5067.337650167372,258.6318932388309,21293.79139500995,18023.845667009453,3616.845016384727,2069.7091478432935,1207.6262177861954
A43_111,32,2025-02-02,63769.29747710562,178.63673648558984,5457.998356680699,2728.9991783403493,-2550.3624418547597,1327.4915698542184,62546.42660510508,90051.77445131377,83946.46670786769,119.84548858230892,6225.15323202841,258.6318932388309,22241.748278504965,18791.690742640414,2398.763115241943,2069.7091478432935,1207.6262177861954
A43_update_only,32,2025-02-02,63527.88384444683,0.0,0.0,0.0,0.0,224.00128039539345,63751.88512484222,89512.89052835727,89512.89052835727,0.0,0.0,35.34258131830208,20705.932275449723,17860.252731833894,8346.275616059736,2554.704678504147,1345.3184688156816
A43_adjust_only,32,2025-02-02,63769.29747710562,0.0,1769.9490151401023,884.9745075700512,-884.9745075700512,1327.4915698542136,64211.81453938977,90051.77445131377,87785.82163150873,0.0,2265.952819805033,258.6318932388299,21231.90646532488,17973.718873964543,6429.987983387227,2069.7091478432926,1207.6262177861954
A42,33,2025-02-03,64042.92112896873,0.0,0.0,0.0,0.0,5.706974398785036e-11,64042.92112896879,90371.59434414157,90371.59434414157,0.0,0.0,9.99080809402364e-12,23234.76103574347,18232.749579153722,5152.666387551824,1388.503096175762,2041.1773848407531
B42,33,2025-02-03,64042.92112896873,0.0,0.0,0.0,0.0,5.706974398785036e-11,64042.92112896879,90371.59434414157,90371.59434414157,0.0,0.0,9.99080809402364e-12,23234.76103574347,18232.749579153722,5152.666387551824,1388.503096175762,2041.1773848407531
B43,33,2025-02-03,68654.95259369211,60.59257523684212,6995.869436899005,3497.9347184495027,-3437.3421432126606,4.9506179156111325e-11,65217.610450479515,95513.68937157611,87701.42240845572,43.63912982507168,7855.906092945475,9.14912590133099e-12,23674.04945004347,18684.513711632157,2494.9701700443875,1207.6262177861954,1753.6999321229212
A43_000,33,2025-02-03,68589.22749253403,0.0,0.0,0.0,0.0,3.515291385758345e-11,68589.22749253406,95360.69798154334,95360.69798154334,0.0,0.0,6.1276539398136265e-12,22442.719553315826,17447.480197980807,10148.542126208325,1345.3184688156816,2157.676957932363
A43_001,33,2025-02-03,68654.95259369211,0.0,6326.252318594077,3163.1261592970386,-3163.1261592970386,4.9506179156111325e-11,65491.82643439512,95513.68937157611,88427.96770348531,0.0,7085.721668090795,9.14912590133099e-12,23674.049450043465,18684.513711632157,3221.5154650739973,1207.6262177861954,1753.6999321229212
A43_010,33,2025-02-03,68654.95259369211,0.0,5695.113443456181,2847.5567217280905,-2847.5567217280905,4.9621906084151844e-11,65807.39587196407,95513.68937157611,88904.70697074232,0.0,6608.982400833782,8.91564599925232e-12,22736.799969095126,17936.72286353608,3887.713365183277,1207.6262177861954,1741.0541193761671
A43_011,33,2025-02-03,68654.95259369211,60.59257523684212,6995.869436899005,3497.9347184495027,-3437.3421432126606,4.9506179156111325e-11,65217.610450479515,95513.68937157611,87701.42240845572,43.63912982507168,7855.906092945475,9.14912590133099e-12,23674.04945004347,18684.513711632157,2494.9701700443875,1207.6262177861954,1753.6999321229212
A43_100,33,2025-02-03,68654.95259369211,0.0,336.05030483014616,168.02515241507308,-168.02515241507308,4.061910402475277e-11,68486.92744127708,95513.68937157611,95149.37757947361,0.0,364.31179210249707,7.037148641586555e-12,22422.933470711978,17576.285942767936,10085.813551529567,1207.6262177861954,1859.059738351494
A43_101,33,2025-02-03,68654.95259369211,0.0,6326.252318594077,3163.1261592970386,-3163.1261592970386,4.9506179156111325e-11,65491.82643439512,95513.68937157611,88427.96770348531,0.0,7085.721668090795,9.14912590133099e-12,23674.049450043465,18684.513711632157,3221.5154650739973,1207.6262177861954,1753.6999321229212
A43_110,33,2025-02-03,68654.95259369211,0.0,5695.113443456181,2847.5567217280905,-2847.5567217280905,4.9621906084151844e-11,65807.39587196407,95513.68937157611,88904.70697074232,0.0,6608.982400833782,8.91564599925232e-12,22736.799969095126,17936.72286353608,3887.713365183277,1207.6262177861954,1741.0541193761671
A43_111,33,2025-02-03,68654.95259369211,60.59257523684212,6995.869436899005,3497.9347184495027,-3437.3421432126606,4.9506179156111325e-11,65217.610450479515,95513.68937157611,87701.42240845572,43.63912982507168,7855.906092945475,9.14912590133099e-12,23674.04945004347,18684.513711632157,2494.9701700443875,1207.6262177861954,1753.6999321229212
A43_update_only,33,2025-02-03,68589.22749253403,0.0,0.0,0.0,0.0,3.515291385758345e-11,68589.22749253406,95360.69798154334,95360.69798154334,0.0,0.0,6.1276539398136265e-12,22442.719553315826,17447.480197980807,10148.542126208325,1345.3184688156816,2157.676957932363
A43_adjust_only,33,2025-02-03,68654.95259369211,0.0,1878.5688178470598,939.2844089235299,-939.2844089235299,3.759457939400689e-11,67715.66818476863,95513.68937157611,93130.58012498362,0.0,2383.1092465924917,6.582401290700091e-12,22416.91271617049,17590.838233945546,8087.589142758675,1207.6262177861954,1837.4718468445824
A42,34,2025-02-04,62209.10656174569,0.0,0.0,0.0,0.0,2.5276576387511796e-11,62209.10656174571,87705.3247027557,87705.3247027557,0.0,0.0,4.574118861455645e-12,23938.223527680955,19729.37404406283,2301.611269137569,2041.1773848407531,1664.051844128241
B42,34,2025-02-04,62209.10656174569,0.0,0.0,0.0,0.0,2.5276576387511796e-11,62209.10656174571,87705.3247027557,87705.3247027557,0.0,0.0,4.574118861455645e-12,23938.223527680955,19729.37404406283,2301.611269137569,2041.1773848407531,1664.051844128241
B43,34,2025-02-04,68981.99356633605,0.0,6930.079857553377,3465.0399287766886,-3465.0399287766886,4.050217317086435e-11,65516.9536375594,95220.10639315119,87538.18422628625,0.0,7681.922166864929,7.192468842731614e-12,23855.868628159733,19555.066593037925,2042.5182411644373,1753.6999321229212,1496.1299274245466
A43_000,34,2025-02-04,68800.5415540513,0.0,0.0,0.0,0.0,2.225883233286652e-11,68800.54155405133,94771.24303114068,94771.24303114068,0.0,0.0,3.6224356847469608e-12,22301.16662854008,18291.04858636217,9566.261038962777,2157.676957932363,1905.3396054382465
A43_001,34,2025-02-04,68981.99356633605,0.0,5505.751581677979,2752.8757908389894,-2752.8757908389894,4.337543629828744e-11,66229.11777549711,95220.10639315119,89212.09046375589,0.0,6008.015929395297,7.616740571592118e-12,23368.9576331024,19117.66460089072,3765.9334815442076,1753.6999321229212,1543.9122453698346
A43_010,34,2025-02-04,68988.08041753815,0.0,6389.847035430317,3194.9235177151586,-3194.9235177151586,3.8651807976464166e-11,65793.15689982304,95234.15729620314,88003.98413379805,0.0,7230.173162405086,6.80699940858176e-12,23495.93056049334,19252.13552675606,2565.3251500607626,1741.0541193761671,1496.1299274245466
A43_011,34,2025-02-04,68981.99356633605,0.0,6930.079857553377,3465.0399287766886,-3465.0399287766886,4.050217317086435e-11,65516.9536375594,95220.10639315119,87538.18422628625,0.0,7681.922166864929,7.192468842731614e-12,23855.868628159733,19555.066593037925,2042.5182411644373,1753.6999321229212,1496.1299274245466
A43_100,34,2025-02-04,68933.42621676481,0.0,337.8201521893827,168.91007609469136,-168.91007609469136,3.0743261270060883e-11,68764.51614067015,95103.03994178609,94734.29544182346,0.0,368.7444999626375,4.915179374620493e-12,22493.69017851519,18445.00779266128,9490.749105969555,1859.059738351494,1608.927796058184
A43_101,34,2025-02-04,68981.99356633605,0.0,5505.751581677979,2752.8757908389894,-2752.8757908389894,4.337543629828744e-11,66229.11777549711,95220.10639315119,89212.09046375589,0.0,6008.015929395297,7.616740571592118e-12,23368.9576331024,19117.66460089072,3765.9334815442076,1753.6999321229212,1543.9122453698346
A43_110,34,2025-02-04,68988.08041753815,0.0,6389.847035430317,3194.9235177151586,-3194.9235177151586,3.8651807976464166e-11,65793.15689982304,95234.15729620314,88003.98413379805,0.0,7230.173162405086,6.80699940858176e-12,23495.93056049334,19252.13552675606,2565.3251500607626,1741.0541193761671,1496.1299274245466
A43_111,34,2025-02-04,68981.99356633605,0.0,6930.079857553377,3465.0399287766886,-3465.0399287766886,4.050217317086435e-11,65516.9536375594,95220.10639315119,87538.18422628625,0.0,7681.922166864929,7.192468842731614e-12,23855.868628159733,19555.066593037925,2042.5182411644373,1753.6999321229212,1496.1299274245466
A43_update_only,34,2025-02-04,68800.5415540513,0.0,0.0,0.0,0.0,2.225883233286652e-11,68800.54155405133,94771.24303114068,94771.24303114068,0.0,0.0,3.6224356847469608e-12,22301.16662854008,18291.04858636217,9566.261038962777,2157.676957932363,1905.3396054382465
A43_adjust_only,34,2025-02-04,68943.03282848537,0.0,1341.6810077856885,670.8405038928443,-670.8405038928443,2.517935637769142e-11,68272.19232459256,95127.02648790489,93502.49027573469,0.0,1624.536212170192,4.176214929429989e-12,22781.515827063035,18688.2806225751,8214.391121246761,1837.4718468445824,1576.0798438956444
A42,35,2025-02-05,63873.197969225905,0.0,0.0,0.0,0.0,71.05298979289242,63944.2509590188,89565.96720173152,89565.96720173152,0.0,0.0,10.261841391234583,23789.438630076067,19279.732499310943,4318.095929024276,1664.051844128241,1652.6216119623246
B42,35,2025-02-05,63873.197969225905,0.0,0.0,0.0,0.0,71.05298979289242,63944.2509590188,89565.96720173152,89565.96720173152,0.0,0.0,10.261841391234583,23789.438630076067,19279.732499310943,4318.095929024276,1664.051844128241,1652.6216119623246
B43,35,2025-02-05,63333.402829328734,0.0,2569.4375206656987,1284.7187603328493,-1284.7187603328493,1054.1597692979774,63102.84383829386,88627.33526813227,85931.70830253299,0.0,2695.6269655992774,162.88907648180307,24052.499260285855,19680.200195055237,973.8713304508437,1496.1299274245466,1276.490156064884
A43_000,35,2025-02-05,63112.29937028619,0.0,0.0,0.0,0.0,183.344635000033,63295.64400528622,88172.65784811706,88172.65784811706,0.0,0.0,26.479583333339626,23629.575267828222,19400.142721639437,3221.277901928269,1905.3396054382465,1616.2432113287157
A43_001,35,2025-02-05,63306.50138432554,0.0,1559.1093667791802,779.5546833895901,-779.5546833895901,1023.5330829973517,63550.479783933304,88574.24380374863,86980.85394244501,0.0,1593.389861303605,160.22498577096584,23992.212944102917,19669.826298431148,2070.2652992108797,1543.9122453698346,1281.5413412500693
A43_010,35,2025-02-05,63333.402829328734,0.0,2546.136140644259,1273.0680703221294,-1273.0680703221294,1069.8177789979645,63130.15253800457,88627.33526813227,85914.97019384892,0.0,2712.365074283356,167.43514314846726,23916.021647027093,19565.10726164897,983.0639682859256,1496.1299274245466,1281.5413412500693
A43_011,35,2025-02-05,63333.402829328734,0.0,2569.4375206656987,1284.7187603328493,-1284.7187603328493,1069.8177789979773,63118.50184799386,88627.33526813227,85931.70830253299,0.0,2695.6269655992774,167.43514314846973,24052.499260285855,19675.65412838857,973.8713304508437,1496.1299274245466,1281.5413412500693
A43_100,35,2025-02-05,63269.897629287996,0.0,330.66389040568697,165.33194520284349,-165.33194520284349,398.6849545376365,63503.25063862279,88502.00430298378,88130.92447557945,0.0,371.0798274043432,60.72037193846024,23769.497702632616,19547.940948459716,3221.6611100116734,1608.927796058184,1281.5413412500693
A43_101,35,2025-02-05,63306.50138432554,0.0,1559.1093667791802,779.5546833895901,-779.5546833895901,1023.5330829973517,63550.479783933304,88574.24380374863,86980.85394244501,0.0,1593.389861303605,160.22498577096584,23992.212944102917,19669.826298431148,2070.2652992108797,1543.9122453698346,1281.5413412500693
A43_110,35,2025-02-05,63333.402829328734,0.0,2546.136140644259,1273.0680703221294,-1273.0680703221294,1069.8177789979645,63130.15253800457,88627.33526813227,85914.97019384892,0.0,2712.365074283356,167.43514314846726,23916.021647027093,19565.10726164897,983.0639682859256,1496.1299274245466,1281.5413412500693
A43_111,35,2025-02-05,63333.402829328734,0.0,2569.4375206656987,1284.7187603328493,-1284.7187603328493,1069.8177789979773,63118.50184799386,88627.33526813227,85931.70830253299,0.0,2695.6269655992774,167.43514314846973,24052.499260285855,19675.65412838857,973.8713304508437,1496.1299274245466,1281.5413412500693
A43_update_only,35,2025-02-05,63112.29937028619,0.0,0.0,0.0,0.0,183.344635000033,63295.64400528622,88172.65784811706,88172.65784811706,0.0,0.0,26.479583333339626,23629.575267828222,19400.142721639437,3221.277901928269,1905.3396054382465,1616.2432113287157
A43_adjust_only,35,2025-02-05,63288.39102635551,744.6811448148571,2261.8935916752716,1130.9467958376358,-386.2656510227787,1932.6421154860534,64834.76749081878,88538.50202760883,86598.41146117267,556.4811829409855,2496.571749377158,342.0408784729193,23670.460283669592,19438.15748215338,1959.7225547960343,1576.0798438956444,1281.5413412500693
A42,36,2025-02-06,63714.69513414646,0.0,0.0,0.0,0.0,156.76629478144304,63871.461428927905,89463.72490074346,89463.72490074346,0.0,0.0,21.687865874220265,22516.217166426813,18272.58334547298,4970.721728997159,1652.6216119623246,1614.3466778875982
B42,36,2025-02-06,63714.69513414646,0.0,0.0,0.0,0.0,156.76629478144304,63871.461428927905,89463.72490074346,89463.72490074346,0.0,0.0,21.687865874220265,22516.217166426813,18272.58334547298,4970.721728997159,1652.6216119623246,1614.3466778875982
B43,36,2025-02-06,68565.98207479336,614.6401184008874,8740.750304137197,4370.375152068598,-3755.735033667711,1494.684355810032,66304.93139693567,94907.60103542311,85733.73073071185,317.34826435403113,9491.2185690653,262.59423663848406,24212.125390943096,19558.399966758196,1071.5423264987558,1276.490156064884,1335.8474892934555
A43_000,36,2025-02-06,68401.0508416325,0.0,0.0,0.0,0.0,124.19850997967691,68525.24935161218,94530.09764068553,94530.09764068553,0.0,0.0,17.166345539693474,22343.696059747304,18017.190648140648,9949.70135795188,1616.2432113287157,1706.4689449450202
A43_001,36,2025-02-06,68563.53000500734,0.0,6618.2648747421545,3309.1324373710772,-3309.1324373710772,681.8846463427493,65936.28221397901,94901.98860743958,87771.39517438502,0.0,7130.593433054548,134.00076632513097,24146.13053425885,19579.053669777746,3067.261859562381,1281.5413412500693,1258.554744552206
A43_010,36,2025-02-06,68563.53000500734,0.0,7855.198087098182,3927.599043549091,-3927.599043549091,2528.894227207329,67164.82518866558,94901.98860743958,86164.54145104784,0.0,8737.447156391721,448.00829445047924,23136.08813098247,18760.91932312388,1966.3237209730678,1281.5413412500693,1258.554744552206
A43_011,36,2025-02-06,68563.53000500734,0.0,8740.750304137197,4370.375152068598,-4370.375152068598,2912.252173230245,67105.40702616899,94901.98860743958,85410.77003837428,0.0,9491.2185690653,510.3790307253904,24206.512962959554,19627.96343702532,1071.5423264987558,1281.5413412500693,1258.554744552206
A43_100,36,2025-02-06,68563.53000500734,0.0,330.59111498638003,165.29555749319002,-165.29555749319002,124.19850997967872,68522.43295749382,94901.98860743958,94536.70998342568,0.0,365.2786240139042,17.166345539693815,22548.643268988213,18215.525514641406,9949.70135795188,1281.5413412500693,1335.8474892934582
A43_101,36,2025-02-06,68563.53000500734,289.99897632056894,6618.2648747421545,3309.1324373710772,-3019.1334610505087,375.5863574210949,65919.98290137792,94901.98860743958,87921.12616174592,149.73098736088855,7130.593433054548,53.83324923136919,24146.13053425885,19509.49019951062,3067.261859562381,1281.5413412500693,1335.8474892934578
A43_110,36,2025-02-06,68563.53000500734,719.2273184008874,7855.198087098182,3927.599043549091,-3208.371725148204,813.2994574354957,66168.45773729462,94901.98860743958,86535.88971540189,371.34826435403113,8737.447156391721,146.22350036357295,23136.08813098247,18691.355852856752,1966.3237209730678,1281.5413412500693,1335.8474892934555
A43_111,36,2025-02-06,68563.53000500734,719.2273184008874,8740.750304137197,4370.375152068598,-3651.147833667711,1196.657403458411,66109.03957479804,94901.98860743958,85782.11830272831,371.34826435403113,9491.2185690653,208.59423663848406,24206.512962959554,19558.399966758196,1071.5423264987558,1281.5413412500693,1335.8474892934555
A43_update_only,36,2025-02-06,68401.0508416325,0.0,0.0,0.0,0.0,124.19850997967691,68525.24935161218,94530.09764068553,94530.09764068553,0.0,0.0,17.166345539693474,22343.696059747304,18017.190648140648,9949.70135795188,1616.2432113287157,1706.4689449450202
A43_adjust_only,36,2025-02-06,68563.53000500734,0.0,1364.5180478513466,682.2590239256733,-682.2590239256733,124.19850997967872,68005.46949106133,94901.98860743958,93265.26555872336,0.0,1636.7230487162085,17.166345539693815,22548.643268988213,18215.525514641406,8678.256933249577,1281.5413412500693,1335.8474892934582
A42,37,2025-02-07,20142.227406673643,0.0,0.0,0.0,0.0,1.778079194991733e-11,20142.22740667366,48645.92756660772,48645.92756660772,0.0,0.0,4.192202140984591e-12,19681.807904025216,15215.39158864197,12373.831584557816,1614.3466778875982,2421.983137463661
B42,37,2025-02-07,20142.227406673643,0.0,0.0,0.0,0.0,1.778079194991733e-11,20142.22740667366,48645.92756660772,48645.92756660772,0.0,0.0,4.192202140984591e-12,19681.807904025216,15215.39158864197,12373.831584557816,1614.3466778875982,2421.983137463661
B43,37,2025-02-07,19961.248991052405,1.4132328026188616,2506.9585564015915,1253.4792782007958,-1252.0660453981768,2.105593077672552e-11,18709.18294565425,46890.8982245206,41705.84512015688,1.1152405323696826,5186.168344896085,4.9631410092843e-12,19471.94254339622,15517.615368740797,5945.838278834781,1335.8474892934555,1618.8009241936124
A43_000,37,2025-02-07,19796.89896555181,0.0,0.0,0.0,0.0,1.5199645986285758e-11,19796.898965551823,46479.09660712996,46479.09660712996,0.0,0.0,3.581135388230905e-12,19205.849988913626,15176.268041961423,10643.834993511093,1706.4689449450202,2129.2138883434786
A43_001,37,2025-02-07,19995.524029303775,0.0,1933.052661737191,966.5263308685956,-966.5263308685956,1.861885978726718e-11,19028.9976984352,46976.77905201087,42922.40088642975,0.0,4054.37816558112,4.360067862307915e-12,19517.149742315025,15455.795285640132,7055.366763088186,1258.554744552206,1650.8836397022476
A43_010,37,2025-02-07,19995.524029303775,0.0,2085.928138298813,1042.9640691494064,-1042.9640691494064,2.105593077672552e-11,18952.55996015439,46976.77905201087,42958.803915034834,0.0,4017.9751369760334,4.9631410092843e-12,19567.44037049845,15495.415453936337,7081.09933180605,1258.554744552206,1652.1227958493253
A43_011,37,2025-02-07,19995.524029303775,1.4132328026188616,2480.003266508007,1240.0016332540035,-1238.5884004513846,2.105593077672552e-11,18756.93562885241,46976.77905201087,41823.542862063565,1.1152405323696826,5154.351430479673,4.9631410092843e-12,19567.440370498454,15495.415453936337,5945.838278834781,1258.554744552206,1652.1227958493253
A43_100,37,2025-02-07,19961.248991052405,0.0,348.37394885615697,174.18697442807849,-174.18697442807849,1.546763117588057e-11,19787.06201662434,46890.89822452059,46394.01716131386,0.0,496.8810632067273,3.6495251265478146e-12,19420.233735399794,15475.73123426369,10643.834993511093,1335.8474892934582,1618.8009241936118
A43_101,37,2025-02-07,19961.248991052405,0.0,1959.0631198517517,979.5315599258759,-979.5315599258759,1.861885978726718e-11,18981.717431126548,46890.89822452059,42805.818385055434,0.0,4085.079839465162,4.360067862307915e-12,19421.651915212795,15476.879959912221,7055.366763088186,1335.8474892934578,1618.8009241936124
A43_110,37,2025-02-07,19961.248991052405,0.0,2112.8834281923973,1056.4417140961987,-1056.4417140961987,2.105593077672552e-11,18904.80727695623,46890.8982245206,42841.106173128144,0.0,4049.7920513924455,4.9631410092843e-12,19471.942543396224,15517.615368740797,7081.09933180605,1335.8474892934555,1618.8009241936124
A43_111,37,2025-02-07,19961.248991052405,1.4132328026188616,2506.9585564015915,1253.4792782007958,-1252.0660453981768,2.105593077672552e-11,18709.18294565425,46890.8982245206,41705.84512015688,1.1152405323696826,5186.168344896085,4.9631410092843e-12,19471.94254339622,15517.615368740797,5945.838278834781,1335.8474892934555,1618.8009241936124
A43_update_only,37,2025-02-07,19796.89896555181,0.0,0.0,0.0,0.0,1.5199645986285758e-11,19796.898965551823,46479.09660712996,46479.09660712996,0.0,0.0,3.581135388230905e-12,19205.849988913626,15176.268041961423,10643.834993511093,1706.4689449450202,2129.2138883434786
A43_adjust_only,37,2025-02-07,19961.248991052405,0.0,1479.3404557108493,739.6702278554246,-739.6702278554246,1.5757134708138665e-11,19221.578763196998,46890.89822452059,43474.905638365955,0.0,3415.992586154634,3.6779468359782186e-12,19420.233735399794,15475.73123426369,7724.723470563184,1335.8474892934582,1618.8009241936124
A42,38,2025-02-08,18321.164680487607,0.0,0.0,0.0,0.0,1.7112994576962137e-11,18321.164680487625,44254.32854236456,44254.32854236456,0.0,0.0,4.232170169871097e-12,17708.984712773203,14826.451429707582,9794.632542632258,2421.983137463661,1886.2344570622315
B42,38,2025-02-08,18321.164680487607,0.0,0.0,0.0,0.0,1.7112994576962137e-11,18321.164680487625,44254.32854236456,44254.32854236456,0.0,0.0,4.232170169871097e-12,17708.984712773203,14826.451429707582,9794.632542632258,2421.983137463661,1886.2344570622315
B43,38,2025-02-08,15782.68004545378,251.88389284401492,432.40948841946783,216.20474420973392,35.679148634281006,464.3022703770269,16282.661464465089,37484.293126706114,36992.85267851671,147.31344436296456,638.7538925523637,93.55274438384653,18856.348403747892,15328.803981252808,1981.698283738802,1618.8009241936124,1557.510063952479
