day,source,joint,issue,atoms,fallback_state,fallback_all
48,43,True,0,7,49,0
48,43,True,1,7,41,0
48,43,True,2,7,21,0
48,43,True,3,7,8,0
49,42,True,0,7,97,0
49,42,False,0,7,1,0
49,43,False,0,7,1,0
49,43,False,1,7,0,0
49,43,False,2,7,0,0
49,43,False,3,7,0,0
49,43,True,0,7,49,0
49,43,True,1,7,35,0
49,43,True,2,7,21,0
49,43,True,3,7,8,0
50,42,True,0,7,103,0
50,42,False,0,7,0,0
50,43,False,0,7,1,0
50,43,False,1,7,0,0
50,43,False,2,7,0,0
50,43,False,3,7,0,0
50,43,True,0,7,52,0
50,43,True,1,7,41,0
50,43,True,2,7,27,0
50,43,True,3,7,8,0
51,42,True,0,7,101,0
51,42,False,0,7,0,0
51,43,False,0,7,1,0
51,43,False,1,7,0,0
51,43,False,2,7,0,0
51,43,False,3,7,0,0
51,43,True,0,7,50,0
51,43,True,1,7,41,0
51,43,True,2,7,27,0
51,43,True,3,7,8,0
52,42,True,0,7,97,0
52,42,False,0,7,0,0
52,43,False,0,7,1,0
52,43,False,1,7,0,0
52,43,False,2,7,0,0
52,43,False,3,7,0,0
52,43,True,0,7,50,0
52,43,True,1,7,43,0
52,43,True,2,7,28,0
52,43,True,3,7,8,0
53,42,True,0,7,90,0
53,42,False,0,7,0,0
53,43,False,0,7,1,0
53,43,False,1,7,0,0
53,43,False,2,7,0,0
53,43,False,3,7,0,0
53,43,True,0,7,58,0
53,43,True,1,7,50,0
53,43,True,2,7,28,0
53,43,True,3,7,8,0
54,42,True,0,7,90,0
54,42,False,0,7,0,0
54,43,False,0,7,1,0
54,43,False,1,7,0,0
54,43,False,2,7,0,0
54,43,False,3,7,0,0
54,43,True,0,7,51,0
54,43,True,1,7,54,0
54,43,True,2,7,29,0
54,43,True,3,7,8,0
55,42,True,0,7,92,0
55,42,False,0,7,0,0
55,43,False,0,7,1,0
55,43,False,1,7,0,0
55,43,False,2,7,0,0
55,43,False,3,7,0,0
55,43,True,0,7,50,0
55,43,True,1,7,54,0
55,43,True,2,7,29,0
55,43,True,3,7,8,0
56,42,True,0,7,85,0
56,42,False,0,7,0,0
56,43,False,0,7,1,0
56,43,False,1,7,0,0
56,43,False,2,7,0,0
56,43,False,3,7,0,0
56,43,True,0,7,59,0
56,43,True,1,7,61,0
56,43,True,2,7,43,0
56,43,True,3,7,15,0
57,42,True,0,7,97,0
57,42,False,0,7,0,0
57,43,False,0,7,1,0
57,43,False,1,7,0,0
57,43,False,2,7,0,0
57,43,False,3,7,0,0
57,43,True,0,7,67,0
57,43,True,1,7,63,0
57,43,True,2,7,42,0
57,43,True,3,7,15,0
58,42,True,0,7,97,0
58,42,False,0,7,0,0
58,43,False,0,7,1,0
58,43,False,1,7,0,0
58,43,False,2,7,0,0
58,43,False,3,7,0,0
58,43,True,0,7,65,0
58,43,True,1,7,70,0
58,43,True,2,7,42,0
58,43,True,3,7,15,0
59,42,True,0,7,102,0
59,42,False,0,7,0,0
59,43,False,0,7,1,0
59,43,False,1,7,3,0
59,43,False,2,7,0,0
59,43,False,3,7,0,0
59,43,True,0,7,64,0
59,43,True,1,7,72,0
59,43,True,2,7,42,0
59,43,True,3,7,15,0
60,42,True,0,7,102,0
60,42,False,0,7,0,0
60,43,False,0,7,1,0
60,43,False,1,7,3,0
60,43,False,2,7,0,0
60,43,False,3,7,0,0
60,43,True,0,7,76,0
60,43,True,1,7,74,0
60,43,True,2,7,42,0
60,43,True,3,7,15,0
61,42,True,0,7,102,0
61,42,False,0,7,0,0
61,43,False,0,7,1,0
61,43,False,1,7,2,0
61,43,False,2,7,0,0
61,43,False,3,7,0,0
61,43,True,0,7,74,0
61,43,True,1,7,65,0
61,43,True,2,7,32,0
61,43,True,3,7,15,0
62,42,True,0,7,104,0
62,42,False,0,7,0,0
62,43,False,0,7,2,0
62,43,False,1,7,2,0
62,43,False,2,7,0,0
62,43,False,3,7,0,0
62,43,True,0,7,61,0
62,43,True,1,7,63,0
62,43,True,2,7,33,0
62,43,True,3,7,15,0
63,42,True,0,7,96,0
63,42,False,0,7,0,0
63,43,False,0,7,2,0
63,43,False,1,7,2,0
63,43,False,2,7,0,0
63,43,False,3,7,0,0
63,43,True,0,7,60,0
63,43,True,1,7,62,0
63,43,True,2,7,33,0
63,43,True,3,7,16,0
64,42,True,0,7,96,0
64,42,False,0,7,0,0
64,43,False,0,7,2,0
64,43,False,1,7,1,0
64,43,False,2,7,0,0
64,43,False,3,7,0,0
64,43,True,0,7,59,0
64,43,True,1,7,61,0
64,43,True,2,7,33,0
64,43,True,3,7,16,0
65,42,True,0,7,103,0
65,42,False,0,7,0,0
65,43,False,0,7,2,0
65,43,False,1,7,1,0
65,43,False,2,7,0,0
65,43,False,3,7,0,0
65,43,True,0,7,52,0
65,43,True,1,7,54,0
65,43,True,2,7,26,0
65,43,True,3,7,10,0
66,42,True,0,7,96,0
66,42,False,0,7,0,0
66,43,False,0,7,1,0
66,43,False,1,7,0,0
66,43,False,2,7,0,0
66,43,False,3,7,0,0
66,43,True,0,7,51,0
66,43,True,1,7,52,0
66,43,True,2,7,24,0
66,43,True,3,7,10,0
67,42,True,0,7,96,0
67,42,False,0,7,0,0
67,43,False,0,7,1,0
67,43,False,1,7,0,0
67,43,False,2,7,0,0
67,43,False,3,7,0,0
67,43,True,0,7,52,0
67,43,True,1,7,52,0
67,43,True,2,7,24,0
67,43,True,3,7,15,0
68,42,True,0,7,101,0
68,42,False,0,7,0,0
68,43,False,0,7,1,0
68,43,False,1,7,0,0
68,43,False,2,7,0,0
68,43,False,3,7,0,0
68,43,True,0,7,52,0
68,43,True,1,7,52,0
68,43,True,2,7,24,0
68,43,True,3,7,15,0
69,42,True,0,7,98,0
69,42,False,0,7,0,0
69,43,False,0,7,1,0
69,43,False,1,7,0,0
69,43,False,2,7,0,0
69,43,False,3,7,0,0
69,43,True,0,7,52,0
69,43,True,1,7,51,0
69,43,True,2,7,24,0
69,43,True,3,7,15,0
70,42,True,0,7,84,0
70,42,False,0,7,0,0
70,43,False,0,7,1,0
70,43,False,1,7,0,0
70,43,False,2,7,0,0
70,43,False,3,7,0,0
70,43,True,0,7,49,0
70,43,True,1,7,35,0
70,43,True,2,7,21,0
70,43,True,3,7,13,0
71,42,True,0,7,84,0
71,42,False,0,7,0,0
71,43,False,0,7,1,0
71,43,False,1,7,0,0
71,43,False,2,7,0,0
71,43,False,3,7,0,0
71,43,True,0,7,47,0
71,43,True,1,7,35,0
71,43,True,2,7,21,0
71,43,True,3,7,13,0
72,42,True,0,7,77,0
72,42,False,0,7,0,0
72,43,False,0,7,1,0
72,43,False,1,7,0,0
72,43,False,2,7,0,0
72,43,False,3,7,0,0
72,43,True,0,7,41,0
72,43,True,1,7,35,0
72,43,True,2,7,21,0
72,43,True,3,7,13,0
73,42,True,0,7,77,0
73,42,False,0,7,0,0
73,43,False,0,7,1,0
73,43,False,1,7,0,0
73,43,False,2,7,0,0
73,43,False,3,7,0,0
73,43,True,0,7,45,0
73,43,True,1,7,37,0
73,43,True,2,7,24,0
73,43,True,3,7,16,0
74,42,True,0,7,77,0
74,42,False,0,7,0,0
74,43,False,0,7,1,0
74,43,False,1,7,0,0
74,43,False,2,7,0,0
74,43,False,3,7,0,0
74,43,True,0,7,48,0
74,43,True,1,7,35,0
74,43,True,2,7,24,0
74,43,True,3,7,16,0
75,42,True,0,7,80,0
75,42,False,0,7,0,0
75,43,False,0,7,1,0
75,43,False,1,7,0,0
75,43,False,2,7,0,0
75,43,False,3,7,0,0
75,43,True,0,7,48,0
75,43,True,1,7,32,0
75,43,True,2,7,23,0
75,43,True,3,7,10,0
76,42,True,0,7,77,0
76,42,False,0,7,0,0
76,43,False,0,7,1,0
76,43,False,1,7,0,0
76,43,False,2,7,0,0
76,43,False,3,7,0,0
76,43,True,0,7,45,0
76,43,True,1,7,33,0
76,43,True,2,7,23,0
76,43,True,3,7,7,0
77,42,True,0,7,70,0
77,42,False,0,7,0,0
77,43,False,0,7,1,0
77,43,False,1,7,0,0
77,43,False,2,7,0,0
77,43,False,3,7,0,0
77,43,True,0,7,40,0
77,43,True,1,7,28,0
77,43,True,2,7,18,0
77,43,True,3,7,7,0
78,42,True,0,7,56,0
78,42,False,0,7,0,0
78,43,False,0,7,1,0
78,43,False,1,7,0,0
78,43,False,2,7,0,0
78,43,False,3,7,0,0
78,43,True,0,7,30,0
78,43,True,1,7,25,0
78,43,True,2,7,15,0
78,43,True,3,7,7,0
79,42,True,0,7,56,0
79,42,False,0,7,0,0
79,43,False,0,7,1,0
79,43,False,1,7,0,0
79,43,False,2,7,0,0
79,43,False,3,7,0,0
79,43,True,0,7,28,0
79,43,True,1,7,29,0
79,43,True,2,7,15,0
79,43,True,3,7,7,0
80,42,True,0,7,57,0
80,42,False,0,7,0,0
80,43,False,0,7,1,0
80,43,False,1,7,0,0
80,43,False,2,7,0,0
80,43,False,3,7,0,0
80,43,True,0,7,28,0
80,43,True,1,7,29,0
80,43,True,2,7,20,0
80,43,True,3,7,3,0
81,42,True,0,7,57,0
81,42,False,0,7,0,0
81,43,False,0,7,1,0
81,43,False,1,7,0,0
81,43,False,2,7,0,0
81,43,False,3,7,0,0
81,43,True,0,7,31,0
81,43,True,1,7,30,0
81,43,True,2,7,21,0
81,43,True,3,7,3,0
82,42,True,0,7,57,0
82,42,False,0,7,0,0
82,43,False,0,7,1,0
82,43,False,1,7,0,0
82,43,False,2,7,0,0
82,43,False,3,7,0,0
82,43,True,0,7,32,0
82,43,True,1,7,30,0
82,43,True,2,7,21,0
82,43,True,3,7,3,0
83,42,True,0,7,61,0
83,42,False,0,7,0,0
83,43,False,0,7,1,0
83,43,False,1,7,0,0
83,43,False,2,7,0,0
83,43,False,3,7,0,0
83,43,True,0,7,32,0
83,43,True,1,7,29,0
83,43,True,2,7,9,0
83,43,True,3,7,3,0
84,42,True,0,7,61,0
84,42,False,0,7,0,0
84,43,False,0,7,1,0
84,43,False,1,7,0,0
84,43,False,2,7,0,0
84,43,False,3,7,0,0
84,43,True,0,7,35,0
84,43,True,1,7,32,0
84,43,True,2,7,9,0
84,43,True,3,7,3,0
85,42,True,0,7,61,0
85,42,False,0,7,0,0
85,43,False,0,7,1,0
85,43,False,1,7,0,0
85,43,False,2,7,0,0
85,43,False,3,7,0,0
85,43,True,0,7,34,0
85,43,True,1,7,31,0
85,43,True,2,7,9,0
85,43,True,3,7,3,0
86,42,True,0,7,68,0
86,42,False,0,7,0,0
86,43,False,0,7,1,0
86,43,False,1,7,0,0
86,43,False,2,7,0,0
86,43,False,3,7,0,0
86,43,True,0,7,34,0
86,43,True,1,7,27,0
86,43,True,2,7,9,0
86,43,True,3,7,3,0
87,42,True,0,7,68,0
87,42,False,0,7,0,0
87,43,False,0,7,1,0
87,43,False,1,7,0,0
87,43,False,2,7,0,0
87,43,False,3,7,0,0
87,43,True,0,7,32,0
87,43,True,1,7,26,0
87,43,True,2,7,9,0
87,43,True,3,7,3,0
88,42,True,0,7,66,0
88,42,False,0,7,0,0
88,43,False,0,7,1,0
88,43,False,1,7,0,0
88,43,False,2,7,0,0
88,43,False,3,7,0,0
88,43,True,0,7,35,0
88,43,True,1,7,26,0
88,43,True,2,7,9,0
88,43,True,3,7,3,0
89,42,True,0,7,77,0
89,42,False,0,7,0,0
89,43,False,0,7,1,0
89,43,False,1,7,0,0
89,43,False,2,7,0,0
89,43,False,3,7,0,0
89,43,True,0,7,39,0
89,43,True,1,7,27,0
89,43,True,2,7,9,0
89,43,True,3,7,3,0
90,42,True,0,7,91,0
90,42,False,0,7,0,0
90,43,False,0,7,1,0
90,43,False,1,7,0,0
90,43,False,2,7,0,0
90,43,False,3,7,0,0
90,43,True,0,7,38,0
90,43,True,1,7,26,0
90,43,True,2,7,8,0
90,43,True,3,7,3,0
91,42,True,0,7,91,0
91,42,False,0,7,0,0
91,43,False,0,7,1,0
91,43,False,1,7,0,0
91,43,False,2,7,0,0
91,43,False,3,7,0,0
91,43,True,0,7,38,0
91,43,True,1,7,29,0
91,43,True,2,7,9,0
91,43,True,3,7,3,0
92,42,True,0,7,91,0
92,42,False,0,7,0,0
92,43,False,0,7,2,0
92,43,False,1,7,0,0
92,43,False,2,7,0,0
92,43,False,3,7,0,0
92,43,True,0,7,46,0
92,43,True,1,7,28,0
92,43,True,2,7,9,0
92,43,True,3,7,3,0
93,42,True,0,7,98,0
93,42,False,0,7,0,0
93,43,False,0,7,2,0
93,43,False,1,7,0,0
93,43,False,2,7,0,0
93,43,False,3,7,0,0
93,43,True,0,7,44,0
93,43,True,1,7,28,0
93,43,True,2,7,8,0
93,43,True,3,7,3,0
94,42,True,0,7,98,0
94,42,False,0,7,0,0
94,43,False,0,7,2,0
94,43,False,1,7,0,0
94,43,False,2,7,0,0
94,43,False,3,7,0,0
94,43,True,0,7,43,0
94,43,True,1,7,27,0
94,43,True,2,7,7,0
94,43,True,3,7,3,0
95,42,True,0,7,98,0
95,42,False,0,7,0,0
95,43,False,0,7,2,0
95,43,False,1,7,0,0
95,43,False,2,7,0,0
95,43,False,3,7,0,0
95,43,True,0,7,46,0
95,43,True,1,7,26,0
95,43,True,2,7,6,0
95,43,True,3,7,3,0
96,42,True,0,7,99,0
96,42,False,0,7,0,0
96,43,False,0,7,4,0
96,43,False,1,7,1,0
96,43,False,2,7,0,0
96,43,False,3,7,0,0
96,43,True,0,7,49,0
96,43,True,1,7,20,0
96,43,True,2,7,6,0
96,43,True,3,7,3,0
97,42,True,0,7,100,0
97,42,False,0,7,0,0
97,43,False,0,7,4,0
97,43,False,1,7,1,0
97,43,False,2,7,0,0
97,43,False,3,7,0,0
97,43,True,0,7,50,0
97,43,True,1,7,21,0
97,43,True,2,7,6,0
97,43,True,3,7,3,0
98,42,True,0,7,100,0
98,42,False,0,7,0,0
98,43,False,0,7,4,0
98,43,False,1,7,1,0
98,43,False,2,7,0,0
98,43,False,3,7,0,0
98,43,True,0,7,46,0
98,43,True,1,7,18,0
98,43,True,2,7,5,0
98,43,True,3,7,3,0
99,42,True,0,7,103,0
99,42,False,0,7,0,0
99,43,False,0,7,4,0
99,43,False,1,7,1,0
99,43,False,2,7,0,0
99,43,False,3,7,0,0
99,43,True,0,7,49,0
99,43,True,1,7,20,0
99,43,True,2,7,5,0
99,43,True,3,7,1,0
100,42,True,0,7,109,0
100,42,False,0,7,0,0
100,43,False,0,7,2,0
100,43,False,1,7,1,0
100,43,False,2,7,0,0
100,43,False,3,7,0,0
100,43,True,0,7,46,0
100,43,True,1,7,20,0
100,43,True,2,7,6,0
100,43,True,3,7,1,0
101,42,True,0,7,109,0
101,42,False,0,7,0,0
101,43,False,0,7,2,0
101,43,False,1,7,1,0
101,43,False,2,7,0,0
101,43,False,3,7,0,0
101,43,True,0,7,41,0
101,43,True,1,7,23,0
101,43,True,2,7,6,0
101,43,True,3,7,0,0
102,42,True,0,7,106,0
102,42,False,0,7,0,0
102,43,False,0,7,2,0
102,43,False,1,7,0,0
102,43,False,2,7,0,0
102,43,False,3,7,0,0
102,43,True,0,7,41,0
102,43,True,1,7,19,0
102,43,True,2,7,6,0
102,43,True,3,7,0,0
103,42,True,0,7,107,0
103,42,False,0,7,0,0
103,43,False,0,7,2,0
103,43,False,1,7,0,0
103,43,False,2,7,0,0
103,43,False,3,7,0,0
103,43,True,0,7,39,0
103,43,True,1,7,14,0
103,43,True,2,7,6,0
103,43,True,3,7,0,0
104,42,True,0,7,112,0
104,42,False,0,7,0,0
104,43,False,0,7,1,0
104,43,False,1,7,0,0
104,43,False,2,7,0,0
104,43,False,3,7,0,0
104,43,True,0,7,38,0
104,43,True,1,7,16,0
104,43,True,2,7,6,0
104,43,True,3,7,2,0
105,42,True,0,7,112,0
105,42,False,0,7,0,0
105,43,False,0,7,1,0
105,43,False,1,7,0,0
105,43,False,2,7,0,0
105,43,False,3,7,0,0
105,43,True,0,7,38,0
105,43,True,1,7,16,0
105,43,True,2,7,6,0
105,43,True,3,7,2,0
106,42,True,0,7,114,0
106,42,False,0,7,0,0
106,43,False,0,7,1,0
106,43,False,1,7,0,0
106,43,False,2,7,0,0
106,43,False,3,7,0,0
106,43,True,0,7,38,0
106,43,True,1,7,16,0
106,43,True,2,7,6,0
106,43,True,3,7,2,0
107,42,True,0,7,114,0
107,42,False,0,7,0,0
107,43,False,0,7,1,0
107,43,False,1,7,0,0
107,43,False,2,7,0,0
107,43,False,3,7,0,0
107,43,True,0,7,38,0
107,43,True,1,7,16,0
107,43,True,2,7,6,0
107,43,True,3,7,2,0
108,42,True,0,7,123,0
108,42,False,0,7,0,0
108,43,False,0,7,1,0
108,43,False,1,7,0,0
108,43,False,2,7,0,0
108,43,False,3,7,0,0
108,43,True,0,7,46,0
108,43,True,1,7,16,0
108,43,True,2,7,6,0
108,43,True,3,7,2,0
109,42,True,0,7,113,0
109,42,False,0,7,0,0
109,43,False,0,7,1,0
109,43,False,1,7,0,0
109,43,False,2,7,0,0
109,43,False,3,7,0,0
109,43,True,0,7,46,0
109,43,True,1,7,16,0
109,43,True,2,7,5,0
109,43,True,3,7,2,0
110,42,True,0,7,118,0
110,42,False,0,7,0,0
110,43,False,0,7,1,0
110,43,False,1,7,0,0
110,43,False,2,7,0,0
110,43,False,3,7,0,0
110,43,True,0,7,47,0
110,43,True,1,7,17,0
110,43,True,2,7,5,0
110,43,True,3,7,4,0
111,42,True,0,7,111,0
111,42,False,0,7,0,0
111,43,False,0,7,1,0
111,43,False,1,7,0,0
111,43,False,2,7,0,0
111,43,False,3,7,0,0
111,43,True,0,7,45,0
111,43,True,1,7,17,0
111,43,True,2,7,5,0
111,43,True,3,7,4,0
112,42,True,0,7,104,0
112,42,False,0,7,0,0
112,43,False,0,7,1,0
112,43,False,1,7,0,0
112,43,False,2,7,0,0
112,43,False,3,7,0,0
112,43,True,0,7,47,0
112,43,True,1,7,15,0
112,43,True,2,7,5,0
112,43,True,3,7,4,0
113,42,True,0,7,104,0
113,42,False,0,7,0,0
113,43,False,0,7,1,0
113,43,False,1,7,0,0
113,43,False,2,7,0,0
113,43,False,3,7,0,0
113,43,True,0,7,47,0
113,43,True,1,7,16,0
113,43,True,2,7,11,0
113,43,True,3,7,4,0
114,42,True,0,7,113,0
114,42,False,0,7,0,0
114,43,False,0,7,1,0
114,43,False,1,7,0,0
114,43,False,2,7,0,0
114,43,False,3,7,0,0
114,43,True,0,7,47,0
114,43,True,1,7,21,0
114,43,True,2,7,6,0
114,43,True,3,7,4,0
115,42,True,0,7,108,0
115,42,False,0,7,0,0
115,43,False,0,7,2,0
115,43,False,1,7,0,0
115,43,False,2,7,0,0
115,43,False,3,7,0,0
115,43,True,0,7,51,0
115,43,True,1,7,22,0
115,43,True,2,7,6,0
115,43,True,3,7,2,0
116,42,True,0,7,99,0
116,42,False,0,7,0,0
116,43,False,0,7,2,0
116,43,False,1,7,0,0
116,43,False,2,7,0,0
116,43,False,3,7,0,0
116,43,True,0,7,51,0
116,43,True,1,7,20,0
116,43,True,2,7,6,0
116,43,True,3,7,2,0
117,42,True,0,7,99,0
117,42,False,0,7,0,0
117,43,False,0,7,5,0
117,43,False,1,7,0,0
117,43,False,2,7,0,0
117,43,False,3,7,0,0
117,43,True,0,7,43,0
117,43,True,1,7,17,0
117,43,True,2,7,6,0
117,43,True,3,7,3,0
118,42,True,0,7,99,0
118,42,False,0,7,0,0
118,43,False,0,7,5,0
118,43,False,1,7,0,0
118,43,False,2,7,0,0
118,43,False,3,7,0,0
118,43,True,0,7,42,0
118,43,True,1,7,16,0
118,43,True,2,7,4,0
118,43,True,3,7,3,0
119,42,True,0,7,100,0
119,42,False,0,7,0,0
119,43,False,0,7,5,0
119,43,False,1,7,0,0
119,43,False,2,7,0,0
119,43,False,3,7,0,0
119,43,True,0,7,41,0
119,43,True,1,7,17,0
119,43,True,2,7,5,0
119,43,True,3,7,3,0
120,42,True,0,7,99,0
120,42,False,0,7,0,0
120,43,False,0,7,5,0
120,43,False,1,7,0,0
120,43,False,2,7,0,0
120,43,False,3,7,0,0
120,43,True,0,7,41,0
120,43,True,1,7,17,0
120,43,True,2,7,5,0
120,43,True,3,7,5,0
121,42,True,0,7,99,0
121,42,False,0,7,0,0
121,43,False,0,7,6,0
121,43,False,1,7,0,0
121,43,False,2,7,0,0
121,43,False,3,7,0,0
121,43,True,0,7,44,0
121,43,True,1,7,17,0
121,43,True,2,7,5,0
121,43,True,3,7,5,0
122,42,True,0,7,76,0
122,42,False,0,7,0,0
122,43,False,0,7,6,0
122,43,False,1,7,0,0
122,43,False,2,7,0,0
122,43,False,3,7,0,0
122,43,True,0,7,47,0
122,43,True,1,7,17,0
122,43,True,2,7,5,0
122,43,True,3,7,5,0
123,42,True,0,7,75,0
123,42,False,0,7,0,0
123,43,False,0,7,6,0
123,43,False,1,7,0,0
123,43,False,2,7,0,0
123,43,False,3,7,0,0
123,43,True,0,7,47,0
123,43,True,1,7,22,0
123,43,True,2,7,9,0
123,43,True,3,7,5,0
124,42,True,0,7,75,0
124,42,False,0,7,0,0
124,43,False,0,7,6,0
124,43,False,1,7,0,0
124,43,False,2,7,0,0
124,43,False,3,7,0,0
124,43,True,0,7,46,0
124,43,True,1,7,22,0
124,43,True,2,7,9,0
124,43,True,3,7,5,0
125,42,True,0,7,75,0
125,42,False,0,7,0,0
125,43,False,0,7,0,0
125,43,False,1,7,0,0
125,43,False,2,7,0,0
125,43,False,3,7,0,0
125,43,True,0,7,37,0
125,43,True,1,7,22,0
125,43,True,2,7,9,0
125,43,True,3,7,5,0
126,42,True,0,7,80,0
126,42,False,0,7,0,0
126,43,False,0,7,0,0
126,43,False,1,7,0,0
126,43,False,2,7,0,0
126,43,False,3,7,1,0
126,43,True,0,7,37,0
126,43,True,1,7,22,0
126,43,True,2,7,9,0
126,43,True,3,7,6,0
127,42,True,0,7,84,0
127,42,False,0,7,0,0
127,43,False,0,7,0,0
127,43,False,1,7,0,0
127,43,False,2,7,0,0
127,43,False,3,7,1,0
127,43,True,0,7,30,0
127,43,True,1,7,22,0
127,43,True,2,7,9,0
127,43,True,3,7,6,0
128,42,True,0,7,76,0
128,42,False,0,7,0,0
128,43,False,0,7,0,0
128,43,False,1,7,0,0
128,43,False,2,7,0,0
128,43,False,3,7,1,0
128,43,True,0,7,31,0
128,43,True,1,7,23,0
128,43,True,2,7,9,0
128,43,True,3,7,6,0
129,42,True,0,7,76,0
129,42,False,0,7,0,0
129,43,False,0,7,0,0
129,43,False,1,7,0,0
129,43,False,2,7,0,0
129,43,False,3,7,0,0
129,43,True,0,7,37,0
129,43,True,1,7,18,0
129,43,True,2,7,13,0
129,43,True,3,7,5,0
130,42,True,0,7,77,0
130,42,False,0,7,0,0
130,43,False,0,7,0,0
130,43,False,1,7,0,0
130,43,False,2,7,0,0
130,43,False,3,7,0,0
